gene_id	GTEX-OHPK-2326-SM-3MJH2	GTEX-PLZ4-2326-SM-EYYV5	GTEX-S32W-1326-SM-4AD5Q	GTEX-S341-0826-SM-4AD73	GTEX-SE5C-0926-SM-4BRUF	GTEX-T5JW-0326-SM-4DM6J	GTEX-T6MO-1026-SM-4DM72	GTEX-TSE9-2326-SM-EZ6ME	GTEX-U3ZN-1126-SM-4DXUL
ENSG00000143107.8	0.02032	0	0	0.09252	0.03813	0.04751	0.07273	0.02159	0.06888
ENSG00000232971.2	0	0	0	0	0	0	0	0	0
ENSG00000116266.10	29.58	30.32	27.7	25.1	23.9	27.12	29.83	25.89	23.79
ENSG00000228076.2	0.09099	0.3602	0.08638	0	0.3416	0	0.4072	0.3868	0.07712
ENSG00000162641.18	0.3096	0.1076	0.1004	0.5731	0.2693	0.4826	0.2433	0.1444	0.2304
ENSG00000203897.3	0	0.1996	0	0	0.2366	0.09826	0.1128	0.201	0.2137
ENSG00000121957.12	4.287	5.412	4.67	6.343	5.444	6.832	5.661	9.397	2.924
ENSG00000121940.15	30.26	33.03	29.98	27.27	23.47	30.4	31.43	36.12	23.72
ENSG00000085433.15	18.01	16.95	18.05	16.41	12.44	17.49	19.41	11.42	20.76
ENSG00000237349.1	0	0	0	0.1816	0	0.3729	0	0.1271	0
ENSG00000244716.3	5.611	12.75	3.59	3.055	2.518	43.07	4.585	8.556	3.825
ENSG00000228665.2	0.5351	1.271	0.5081	0	0	0.8342	0.2395	1.28	0
ENSG00000228054.2	0	0	0	0	0	0	0	0	0
ENSG00000197780.9	23.96	18.45	21.81	34.87	43.38	28.98	25.66	17.45	10.49
ENSG00000273382.1	0.6466	0.351	1.333	0.9255	0.8323	1.93	0.7937	0.5498	1.566
ENSG00000215717.5	38.31	52.1	33.82	39.33	35.38	45.7	43.71	44.72	26.81
ENSG00000270066.3	0	0	0	0	0	0	0	0	0
ENSG00000251484.3	0.2223	0.176	1.689	0.5062	0	0.2599	0.09948	0.3544	5.371
ENSG00000179902.12	0.1432	0	140.9	4.783	8.96	10.34	6.58	32.98	753.1
ENSG00000116299.16	0.2452	0.477	10.47	0.7977	1.368	1.573	0.5142	2.107	69.65
ENSG00000031698.12	115.8	95.9	80.42	90.88	81.86	100.1	114.7	113.9	78.95
ENSG00000143126.7	2.311	4.344	35.64	4.406	6.708	12.03	12.82	6.875	49.21
ENSG00000134222.16	6.095	13.37	8.207	8.614	5.224	5.647	7.653	4.544	5.878
ENSG00000221986.6	0.3027	0.1198	0.1078	0.5744	0.142	0.02949	0.2032	0.7641	5.581
ENSG00000134243.11	65.78	29.03	29.54	26.91	27.53	27.25	28.71	16.85	31.68
ENSG00000143106.12	20.52	16.52	29.29	15.91	25.78	28.9	21.58	17.58	24.82
ENSG00000143028.8	3.339	5.031	3.973	3.163	3.815	3.741	3.516	3.803	0.695
ENSG00000162650.16	5.149	14.07	13.51	7.126	4.56	6.564	8.264	9.587	11.9
ENSG00000174151.14	8.881	6.64	11.79	6.032	8.217	7.623	8.635	6.341	11.7
ENSG00000181754.6	11.26	11.97	6.597	9.199	3.866	4.636	11.46	10.32	3.759
ENSG00000156097.12	0.121	0.1916	0.675	0.02296	0.1704	0.3301	0.4332	0.3055	1.18
ENSG00000065135.10	7.25	8.022	6.75	7.681	9.289	7.694	6.348	4.831	4.676
ENSG00000206832.1	0	0	0	0	0	0	0	1.009	1.609
ENSG00000116337.15	18.53	36.18	49.33	41.84	37.69	33.8	32.65	60.4	35.22
ENSG00000228703.1	2.188	2.038	5.376	3.907	2.174	2.408	3.455	7.249	4.364
ENSG00000235045.2	0.04637	0.07341	0.2641	0.1408	0	0.1446	0.08299	0.09856	0.0786
ENSG00000168765.16	18.9	14.64	19.15	15.22	10.58	22.53	16.13	16.6	11.36
ENSG00000213366.12	21.12	27.92	19.28	29.05	9.924	24.81	35.76	52.21	32.21
ENSG00000134184.12	64.91	0.3675	0.2938	123.2	0.2178	100.1	53.11	0.8222	0.7214
ENSG00000260246.1	0	0	0	0	0	0.5929	1.361	0	0
ENSG00000134201.10	24.99	30.74	13.52	41.02	10.9	15.92	22.97	55.28	13.12
ENSG00000241720.2	1.832	0.2522	0.4537	2.418	0.299	0.1242	2.138	1.27	0.405
ENSG00000134202.10	49.51	31.88	17.11	76.92	21.04	44.32	35.89	47.61	6.258
ENSG00000198758.10	0.08761	0.1387	1.701	0.1034	0.07308	0	0.122	0.09311	0.3631
ENSG00000224927.2	0	0.3002	0	0	0	0	0	0	0.1607
ENSG00000228420.1	0	0.7881	0	0	0	0	0	0.1511	0
ENSG00000235005.1	0	0	0	0	0	0	0	0	0
ENSG00000261055.1	0	0.02837	0	0.0544	0	0.1676	0	0	0
ENSG00000184371.13	68.18	58.89	50.43	63.11	78.16	45.73	42.76	29.57	27.87
ENSG00000168710.17	86	85.73	104.1	90.95	92.54	85.96	97.16	111.2	131.4
ENSG00000143093.14	31.66	38.98	43.59	35.86	33.8	40.29	53.79	37.62	40.35
ENSG00000258634.3	10.44	14.95	16.01	13.93	8.717	9.567	19.56	13.67	15.46
ENSG00000156150.6	0.04963	0	0.7539	1.055	0.5589	2.553	1.688	1.899	0.589
ENSG00000258673.1	0.1754	0	0.888	0.6212	0.5486	0.8202	1.046	0.9941	0.3964
ENSG00000186150.4	0.4809	0.1088	0.5218	1.147	0.4728	1.464	1.64	1.509	0.4659
ENSG00000197106.6	0.4179	0.1045	0.3237	0.1002	0.7122	0.1457	0.2362	0.526	0.1585
ENSG00000227091.1	0	0	0	0	0	0	0	0	0
ENSG00000235526.1	0	0	0	0	0.2501	0	0	0	0
ENSG00000224965.1	0.04525	1.863	2.578	0.7556	1.189	0.9876	0.405	0.2886	2.992
ENSG00000116396.14	3.047	6.169	12.22	4.544	4.549	3.54	4.289	4.205	12.16
ENSG00000282852.1	0.7649	0	0	0	0	0	0.6846	0	0
ENSG00000200536.1	0	0	0	0	0	0	0	0	0
ENSG00000227963.1	0.1251	0.198	0.3694	0.1266	0.1043	0.3249	0.1492	0.05907	0.3533
ENSG00000162775.14	4.744	3.219	5.819	6.127	5.031	4.05	5.189	4.226	6.51
ENSG00000224699.8	0.2665	0.3841	0.7591	0.3164	0.2052	0.3782	0.367	0.4358	1.68
ENSG00000168679.17	3.313	9.768	8.961	11.6	6.805	2.609	2.736	14.58	4.747
ENSG00000273373.1	7.221	25.22	27.99	5.03	4.859	6.665	9.736	26.05	28.71
ENSG00000134248.13	76.28	104.3	101.3	84.36	109.7	92.6	77.61	110.2	71.44
ENSG00000143125.5	0.2768	0	0.2252	59.3	0.3711	0	0.3539	0.3362	1.073
ENSG00000282887.2	0	0	0	0	0	0.1099	0	0	0
ENSG00000240194.7	0	0	0	0.2236	0	0	0	0	0.2498
ENSG00000235407.1	0.01686	0	0	0.0256	0.03165	0.02629	0.06037	0	0
ENSG00000143105.7	0	0	0.06562	0.05246	0	0	0.03093	0	0.02929
ENSG00000177301.14	0.2688	0.1511	0.2774	0.337	0.1389	0.2368	0.2022	0.02898	0.06603
ENSG00000259834.1	0.6028	0.7236	1.182	1.83	0.7848	1.88	1.497	1.757	1.401
ENSG00000177272.8	0.1581	0.3755	0.4003	1.06	0.8902	1.068	0.7075	1.288	0.6031
ENSG00000199710.1	0	0	0	0	0	0	0	0	0
ENSG00000237415.2	0	0	0	0	0	0	0	0	0
ENSG00000232791.3	0	0	0	0	0	0	0	0	0
ENSG00000143119.12	34.51	13.42	30.71	57.53	146.8	27.88	22.4	14.87	21.27
ENSG00000261654.1	0.2375	0.02686	0.1503	0.2575	0.09553	0.1851	0.3341	0.06612	0.1822
ENSG00000232811.1	0.8991	0.8858	0.7209	1.365	0.75	0.8098	0.9299	0.2548	1.321
ENSG00000121931.15	12.57	14.9	13.08	13.46	8.701	7.396	9.802	6.987	16.8
ENSG00000273010.1	0.4569	0.1206	0.4338	0.289	0.4288	0.2374	0.1363	0.08093	0.9036
ENSG00000225672.1	0	0	0	0	0	0	0	0	0
ENSG00000252760.1	0	0	0	0	0	0	0	0	0
ENSG00000156171.14	33.66	45.94	38.99	29.04	24.79	18.87	26.49	38.09	57.92
ENSG00000134255.13	6.871	8.687	14.78	9.117	8.053	7.506	8.89	7.982	18.41
ENSG00000162777.16	1.78	2.361	14.11	3.009	6.624	3.483	2.999	5.851	23.46
ENSG00000064886.13	0.8272	0.2001	1.571	0.6627	15.68	0.3224	0.2879	0.3541	0.2143
ENSG00000236040.1	0	0	0	0	0	0	0	0	0
ENSG00000203878.11	0	0	0	0	0	0	0	0	0.02023
ENSG00000134216.18	0.1567	0	0.2232	0.02973	0	0	0.1052	0	0.7637
ENSG00000229283.1	0	0	0	0	0	0	0	0	0
ENSG00000232240.2	0	0	0	0	0	0	0	0	0
ENSG00000173947.13	3.209	3.27	88.13	5.788	5.203	9.213	6.953	20.31	234
ENSG00000234020.1	0	0	0	0	0.05607	0	0	0	0.1013
ENSG00000236012.2	0	0	0	0	0	0	0.4312	0	0.2042
ENSG00000227179.6	0	0	0.1893	0	0.6549	0.07771	0	0.05298	0.08451
ENSG00000085465.12	8.254	10.94	598.6	31.2	178.1	25.08	11.42	38.82	2983
ENSG00000260948.1	3.129	1.007	12.45	2.514	2.983	2.53	5.84	4.392	31.31
ENSG00000233337.1	2.067	1.534	33.85	4.609	5.941	4.632	3.006	2.815	62.86
ENSG00000243960.1	1.8	1.14	24.96	3.553	5.745	5.894	6.445	5.166	44.56
ENSG00000116455.13	21.16	24.57	139.4	26.96	54.15	46.52	32.37	26.65	231.4
ENSG00000199890.1	0	1.448	1.158	0	0.5723	0	0	0	1.551
ENSG00000116459.10	70.64	74.87	90.57	64.7	92.92	100.2	61.46	62.08	94.18
ENSG00000143110.11	18.81	16.77	17.37	24.19	46.77	12.41	17.64	19.65	24.71
ENSG00000121933.18	1.75	1.668	3.68	2.885	31.36	1.261	0.8756	0.6399	0.5103
ENSG00000200360.1	0	0	0	0	0	0	0	0	0
ENSG00000282608.1	3.211	2.627	6.885	4.151	11.16	3.832	2.805	2.351	5.287
ENSG00000116473.14	66.78	71.32	28.37	49.21	49.51	60.66	48.96	39.12	15.3
ENSG00000231346.5	5.432	7.823	2.38	3.806	5.121	6.974	6.732	2.273	4.167
ENSG00000215867.4	0.108	0	0	0	0.304	0.1683	0.09663	0.1147	0.04576
ENSG00000201028.1	0	0	1.201	0	0	0	0	0	0
ENSG00000197852.9	10.16	5.181	4.207	12.8	14.15	11.6	12.55	3.126	6.361
ENSG00000227811.2	0.2786	1.213	0.2645	0.8458	1.176	0.5428	0.4986	0.5922	0.9445
ENSG00000064703.11	11.59	9.854	14.08	9.346	9.923	14.63	14.35	8.014	13.78
ENSG00000171385.9	11.38	10.05	8.067	12.34	23.33	22.03	10.72	5.925	4.145
ENSG00000232558.1	0	0	0	0	0	0	0	0	0
ENSG00000237556.1	0	0	0	0	0	0.1358	0	0	0.07385
ENSG00000231437.3	0.6883	4.046	2.614	1.861	2.3	2.352	1.215	1.022	1.454
ENSG00000231246.1	1.423	3.625	0.5875	1.503	2.323	2.122	2.215	2.17	0.1049
ENSG00000234388.2	0	0	0	0	0	0	0	0	0
ENSG00000238761.1	0	0	0	0	0	0	0	0	0
ENSG00000143079.14	11.09	20.22	10.82	11.43	14.14	15.02	10.83	10.64	6.99
ENSG00000283296.1	0	0	0	0	0	0	0	0	0
ENSG00000134245.17	3.029	4.071	4.239	7.235	3.01	15.17	11.65	5.058	5.715
ENSG00000273483.1	1.474	3.251	3.398	1.119	1.284	2.298	3.675	1.566	5.711
ENSG00000007341.18	7.126	11.65	9.256	5.589	6.463	8.648	5.888	12.52	6.611
ENSG00000116489.12	57.01	50.92	62.05	63.15	89.4	56.17	56.33	55.04	64.63
ENSG00000235299.2	0	0	0	0	0	0	0	0.2255	0.1799
ENSG00000252750.1	0	0	0	0	0	0	0	0	0
ENSG00000155363.18	20.2	52.89	55.48	27.79	30.81	43.09	49.52	66.42	67.51
ENSG00000225075.1	0.334	1.234	1.48	1.352	3.344	1.736	1.594	0.9467	1.133
ENSG00000155366.16	169.4	224.2	123.9	139.3	209.9	213	189.4	162.3	63.32
ENSG00000155367.15	1.908	3.729	11.61	2.074	3.338	3.452	2.846	3.717	8.785
ENSG00000261595.1	0	0	0	0	0	0	0	0	0
ENSG00000184599.13	0	0.1254	0.3509	0.2405	0.3469	0	0.189	0.02806	0.8057
ENSG00000234790.1	0	0	1.012	0	0	0	0	0	0
ENSG00000215866.7	0.04757	0.07532	0.1355	0.03611	0	0.07416	0	0.1517	0.1613
ENSG00000224167.1	0	0	0.3437	0	0	0	0	0	0.9205
ENSG00000228040.1	0.217	0	0.412	0	0	0	0	0	0
ENSG00000155380.11	46.41	18.61	16.77	21.4	34.47	25.61	31.91	17.25	8.512
ENSG00000229020.4	0.185	0.1171	0.2107	0	2.152	0.2307	0.8608	1.258	0.5017
ENSG00000226419.7	1.315	2.733	1.484	1.434	1.052	1.282	2.809	2.574	0.743
ENSG00000238198.1	0.5093	1.373	1.176	0.5851	0.2842	0.8154	0.7884	0.9802	1.47
ENSG00000198799.11	7.529	9.825	10.14	8.217	4.555	9.073	8.971	8.457	9.271
ENSG00000233839.1	0	0	0.1568	0	0	0	0	0.1755	0.14
ENSG00000236887.1	0	0.247	0	0	0.2928	0	0.1396	0.08289	0
ENSG00000081026.18	4.634	6.866	4.109	5.195	3.883	4.038	4.244	4.107	6.383
ENSG00000232499.2	0.2303	0.3125	0.4997	0.1498	0.3087	0.5128	0.3533	0.5594	0.05576
ENSG00000238256.1	0	0	0	0	0	0	0	0	0
ENSG00000116793.15	2.861	5	10.32	6.285	7.522	4.393	4.791	5.092	11.84
ENSG00000232450.1	0.6788	2.508	5.757	2.61	1.868	0.917	2.349	3.366	5.984
ENSG00000081019.13	16.99	13.68	12.8	15.76	7.751	12.88	18.82	17.27	12.12
ENSG00000231128.5	0	0.4278	0.1466	0.05859	0.07244	0.1805	0	0.3692	0
ENSG00000134242.15	1.252	1.427	1.711	2.154	3.415	2.602	2.3	2.829	2.32
ENSG00000226167.1	2.102	5.469	7.87	1.778	1.353	2.95	3.494	2.969	4.633
ENSG00000188761.11	0.3747	0.7416	2.49	0.474	0.3516	2.726	0.7825	0.7965	1.694
ENSG00000134262.12	11.51	20.47	22.09	12.21	10.3	16.1	13.4	16.75	18.64
ENSG00000118655.4	5.925	4.007	4.507	4.146	3.996	5.455	4.92	2.402	4.068
ENSG00000235527.6	0.08251	0.2874	0.7834	0.2255	0.1239	0.2573	0.05908	0.1754	1.651
ENSG00000163349.21	28.86	21.63	45.73	31.56	23.88	27.83	32.81	31.37	72.52
ENSG00000116774.11	160.3	131.7	83.11	171	293.8	198.4	95.66	102.4	47.39
ENSG00000270780.1	0.05991	0.09485	0	0.1819	0.1124	0.1868	0	0	0
ENSG00000282048.1	0.1118	0.2529	0	0	0.05996	0.0249	0	0.1019	0
ENSG00000134207.14	0.05968	0.021	0.07555	0.151	0	0.01034	0.09496	0.04934	0.4272
ENSG00000232895.2	0	0	0	0	0	0	0	0	0
ENSG00000273698.1	0	0	0	0	0	0	0	0	0
ENSG00000271419.1	0	0.06203	0.07439	0	0	0	0	0	0
ENSG00000197323.11	21.05	19.24	16.61	19.73	12.17	21.44	26.81	21.02	20.23
ENSG00000226984.1	0	0.1255	0.4515	0	0	0	0.1419	0	0.5375
ENSG00000225650.2	0	0	0	0	0	0	0	0.07432	0.1186
ENSG00000201114.1	0	0	0	0	0	0	0	0	0
ENSG00000236480.1	0.1778	0.07038	0.211	0	0.08343	0.1039	0.07956	0.07086	0.07535
ENSG00000116752.5	61.6	58.46	39.19	78.43	54.33	51.91	53.26	52.98	37.41
ENSG00000175984.14	3.187	2.299	1.587	2.599	1.251	1.808	2.975	2.223	3.104
ENSG00000116748.21	0.4863	0.1432	0.5798	2.129	0.1274	0.8286	0.1619	1.755	0.07669
ENSG00000242769.3	0	0	0	0	0	0	0.2033	0	0
ENSG00000213281.4	15.48	8.637	13.51	17.65	27.63	17.79	16.78	8.547	10.86
ENSG00000009307.15	365	453.8	185.5	266.2	217.6	256.9	299.3	336	148
ENSG00000201900.1	0	0.5104	0.6121	0.4893	0	0	2.885	1.37	2.732
ENSG00000052723.11	13.8	12.16	18.89	13	14.92	14.46	12.21	10.65	12.12
ENSG00000227970.1	0	0	0.09335	0	0	0	0	0	0.04167
ENSG00000198765.11	0	0.02471	0	0	0	0.02433	0.02793	0.01659	0
ENSG00000134200.3	1.008	0.3992	0.3591	0.6698	0.1183	0.9826	0.4513	0	0.3206
ENSG00000134198.9	75.25	62.24	17.66	32.59	27.83	42.95	39.18	9.885	22.73
ENSG00000233730.1	0.5515	0.4366	25.79	0.5232	1.423	2.149	1.604	5.422	49.9
ENSG00000228035.1	1.167	0.2053	0.4186	0.1772	2.629	0.283	0.6035	0.4686	0
ENSG00000134259.3	38.44	21.7	13.93	47.45	49.51	33.61	28.12	13.12	6.083
ENSG00000226973.1	0	0	0	0.06471	0	0	0	0	0
ENSG00000274468.1	0	0	0	0	0	0	0	0	0
ENSG00000229101.1	0	0	0	0	0	0	0	0	0
ENSG00000232185.1	0	0	0.1545	0	0	0	0	0	0
ENSG00000270631.1	0	0	0.1152	0	0	0	0	0	0
ENSG00000239984.3	0	0	0	0	0	0	0	0	0
ENSG00000207502.1	0	0	0	0	0	0	0	0	0
ENSG00000173218.14	11.19	5.139	10.58	7.104	8.812	9.293	7.414	1.814	14.16
ENSG00000118729.11	71.4	51.93	17.83	20.97	57.4	52.59	21.29	14.78	5.574
ENSG00000177551.5	0.01795	0	0.1193	0.05451	0	0	0	0.009541	0
ENSG00000214204.4	0	0.1178	0	0	0.1396	0	0	0	0
ENSG00000271143.1	0	0	0	0	0	0	0	0	0
ENSG00000228127.2	0	0	0.1724	0	0	0	0.065	0.0386	0.09235
ENSG00000163393.12	1.298	3.19	4.263	3.554	3.553	1.426	1.763	2.773	2.863
ENSG00000237993.1	0	0	0	0	0	0	0	0	0
ENSG00000173212.4	0.02079	0	0.03948	0.2525	0.1951	0.03241	0	0.01105	0.1057
ENSG00000235933.1	0.8888	0.2345	0.4219	0.4497	0.2085	0.2309	0.1326	0	0
ENSG00000221040.2	0	0	0	0	0	0	0	0	0
ENSG00000163399.15	148.4	128.2	131.4	132	198.8	154.8	151	107.7	112.1
ENSG00000203865.9	3.474	5.706	4.408	4.682	2.986	3.669	4.184	4.037	6.853
ENSG00000212385.1	0	0	0.618	0	0	0.5074	0	0	0
ENSG00000233154.5	0.07959	0.09452	0.1889	0.09062	0.0747	0.09306	0.1069	0.1903	0.4048
ENSG00000230381.2	0	0	0.1248	0.09977	0	0	0.1176	0	0.2228
ENSG00000200547.1	0	0	0	0	0	0	0	0	0
ENSG00000224950.2	0.7793	3.213	3.043	0.8482	1.325	0.9398	1.395	0.8751	2.767
ENSG00000116815.15	17.14	21.88	17.59	15.85	24.87	22.73	22.09	18.72	10.72
ENSG00000177173.5	0.2925	1.482	0.7221	0.3553	0.9334	0.6385	0.4189	1.772	0.09919
ENSG00000264419.1	0	0	0	0	0	0	0	0	0
ENSG00000143061.17	1.916	3.52	3.986	2.895	3.614	3.316	5.608	1.59	3.761
ENSG00000211543.2	0	0	0	0	0	0	0	0	0
ENSG00000203864.3	0	0	0	0	0	0	0	0	0
ENSG00000231072.1	0	0.05343	0.06408	0	0.06334	0	0	0	0
ENSG00000223489.1	0	0.02039	0	0	0	0	0	0	0
ENSG00000116824.4	3.165	1.787	8.306	6.304	3.557	9.554	6.206	3.921	16.68
ENSG00000225079.2	0	0.4123	0.3708	0.2964	0.2443	0.3044	0.5825	0.4843	0.8828
ENSG00000272715.1	3.181	2.519	0.3356	1.878	1.493	3.031	4.587	2.066	0.4495
ENSG00000134247.9	78.01	86.52	48.39	41.27	83.78	97.95	100.1	26.46	22.38
ENSG00000252510.1	0	0	0	0	0	0	0	0	0
ENSG00000134256.12	1.42	1.156	1.217	1.198	1.592	1.092	1.907	0.4717	1.221
ENSG00000236137.1	0.1529	0.1037	0.1244	0.09945	0	0.3064	0.1563	0.04642	0.6664
ENSG00000116830.11	4.944	5.327	5.877	3.75	4.586	4.348	5.225	5.961	5.146
ENSG00000215930.1	0	0.6232	0	0	0	0	0	0	0
ENSG00000134253.9	13.65	18.96	23.14	14.26	6.647	15.26	19.35	11.03	43.06
ENSG00000228453.1	0	0	0	0	0	0	0	0	0.3012
ENSG00000134258.16	0.5814	0.4426	5.733	1.273	1.637	2.353	2.162	2.472	50.16
ENSG00000277141.1	0	0	0	0	0	0	0	0	0
ENSG00000235202.1	0	0	0	0	0	0	0	0	0
ENSG00000271427.1	1.825	3.169	9.724	0.7149	0.6629	4.221	2.845	4.004	5.389
ENSG00000198162.12	21.75	15.71	18.88	18.45	17.38	25.95	25.01	15.35	13.93
ENSG00000279513.1	0.1361	0.8621	0.04308	0.3788	0.3406	0.1768	1.015	0.7715	0.1538
ENSG00000226755.2	0	0	0	0	0	0.2077	0	0	0
ENSG00000236866.5	0	0.04912	0.1178	0.04709	0	0	0	0.03297	0.1052
ENSG00000183508.4	9.258	6.719	5.208	13.02	4.065	8.193	5.278	2.809	7.653
ENSG00000213262.3	0.08176	0	0.1552	0	0	0.2549	0	0	0
ENSG00000212266.1	0	0	0	0	0	0	0	0	0
ENSG00000270719.1	0	0	0	0	0	0	0	0	0
ENSG00000228217.1	0.1612	0.1276	0.153	0	0.1513	0	0	0.1713	0
ENSG00000196505.10	1.896	5.035	4.011	2.717	2.911	2.393	2.257	4.545	3.718
ENSG00000065183.15	6.665	6.985	13.23	7.361	12.8	12.58	6.965	4.351	12.5
ENSG00000155761.13	0	0.08252	43.5	1.015	1.581	3.25	1.967	10.83	87.92
ENSG00000222209.1	0	0	0	0	0	0	0	0	0
ENSG00000226126.2	0	0	0.04891	0.0782	0	0	0	0	0
ENSG00000229911.2	0	0	0	0	0	0	0	0	0
ENSG00000092607.13	1.725	1.014	0.304	0.945	2.137	0.61	1.273	0.1985	0.2412
ENSG00000226172.2	0	0	0	0	0	0	0	0	0
ENSG00000239216.1	0	0	0	0	0	0	0	0	0
ENSG00000116874.11	9.858	16.95	8.886	9.654	7.224	8.144	7.203	11.37	11.2
ENSG00000224238.2	2.218	0.9106	1.435	1.197	0.2159	0.2049	0.5882	0.9954	5.627
ENSG00000223575.2	0.03537	0	0.1343	0.3221	0.1328	0	0	0	0.4797
ENSG00000236804.1	0.1348	0	0.3414	0.1365	0.1687	0.07007	0.1609	0.1433	0.381
ENSG00000231365.5	2.909	4.677	4.697	2.121	2.959	2.677	3.361	4.005	5.584
ENSG00000227056.2	0.1297	0	0.1642	0.1312	0	0	0	0	0.2931
ENSG00000227712.1	0	0	0	0	0	0.1175	0	0.08012	0.0639
ENSG00000232650.5	0	0	0.08558	0	0	0	0.242	0.0479	0
ENSG00000194297.2	0	0	0	0	0.4925	0	0	0	0
ENSG00000116882.14	0.03607	0.2284	0.06848	0.05475	0	0.4498	0.09683	0.2683	0.6114
ENSG00000230921.1	0	0	0	0	0	0	0	0	0
ENSG00000203859.9	0.4781	0.1377	0.9079	0.4179	0.8703	0.2033	0.4668	0.2772	1.425
ENSG00000232780.2	0	0	0.1405	0	0.1389	0	0	0	0
ENSG00000203858.3	0	0	0.05749	0.04596	0	0	0	0.1287	0.2053
ENSG00000235595.1	0	0.1079	0	0	0.128	0	0	0	0
ENSG00000187481.2	0	0	0	0	0	0.04749	0.1091	0	0
ENSG00000229570.2	0	0	0	0	0	0	0	0	0
ENSG00000203857.9	0	0	0.2197	0	1.303	0	0	0	0.0327
ENSG00000226443.3	0.3391	0.9666	0.644	0.3604	0.2546	0.423	0.7892	0.1442	0.345
ENSG00000249798.1	0	0.4313	0	0.1551	0	0	0.06095	0	0
ENSG00000239873.2	0.06637	0.1051	0	0.1007	0.1246	0	0.0594	0.07054	0
ENSG00000203855.7	0.1209	0.6699	0.1148	0.367	0.1134	0.2827	0.05409	0.257	0.1537
ENSG00000240244.3	0.1002	0.3174	0.2538	0.1014	0	0	0.2392	0.2131	0.2832
ENSG00000260941.1	1.983	4.506	1.31	2.454	0.8902	0.8738	1.544	1.466	0.8772
ENSG00000198857.3	0.3887	0.7575	0.9652	0.2723	0.1684	0.09322	0.6422	0.3813	0.2028
ENSG00000143067.4	3.478	3.083	3.251	4.24	7.687	3.737	2.163	4.396	2.322
ENSG00000092621.11	43.97	26.07	35.31	28.52	35.17	38.31	24.02	15.63	47.41
ENSG00000134240.11	0.09215	0.06254	4.15	0.07994	0.04942	1.621	0.2356	0.02798	0.7588
ENSG00000134193.14	0.01938	0	0.0184	0	0	0	0	0	0
ENSG00000215864.5	0.02553	0	0	0	0.09582	0	0	0	0
ENSG00000227205.4	0	0	0.1484	0	0	0	0	0	0
ENSG00000226446.1	0	0	0	0	0	0	0	0	0
ENSG00000134249.6	0	0	0.04338	0.03468	0	0	0	0	0.03873
ENSG00000261662.1	6.451	1.617	2.743	7.183	4.207	4.737	5.885	1.747	2.702
ENSG00000134250.19	32.8	24.83	28.48	27.78	31.71	27.94	29.41	28.73	30.5
ENSG00000273406.1	0	0	0	0	0	0	0	0	0
ENSG00000207149.1	0	0	0	0	0	0	0	0	0
ENSG00000265808.3	16.02	16.25	18.85	16.02	20.66	18.59	18.02	23.18	14.11
ENSG00000274642.1	0.8333	1.948	0.7535	0.4216	0.5213	0.6804	2.202	0.2952	1.278
ENSG00000277313.1	0	0	0	0	0	0	0	0	0
ENSG00000223804.5	3.883	4.26	3.251	4.27	6.485	8.961	3.448	1.755	6.065
ENSG00000273727.1	0	0	0	0	0	0	0.374	0	1.063
ENSG00000270392.2	2.398	2.696	1.877	3.029	1.787	1.912	2.818	2.062	4.593
ENSG00000270231.3	6.744	20.62	16.97	13.19	12.77	12.17	16.25	12.57	13.36
ENSG00000275131.2	10.09	12.62	5.882	4.378	5.082	5.776	8.558	6.855	4.812
ENSG00000273694.1	0.4669	0	0.4432	0	0	0.3639	0.4178	0.2481	0.3957
ENSG00000275933.1	0	0	0	0	0	0	0	0	0
ENSG00000273136.6	2.43	3.607	1.747	2.036	5.908	5.301	5.062	4.037	8.752
ENSG00000275538.1	0	0	0	0	1.141	0.316	0	0	1.374
ENSG00000263353.3	0	0.0812	0.1948	0	0	0	0	0	0
ENSG00000281741.2	0	0.05876	0.07047	0.05634	0.1393	0.3471	0.1329	0.03944	5.159
ENSG00000277610.1	0.4128	0	2.351	1.88	2.324	0	0.7388	0	0.6998
ENSG00000226067.6	2.038	2.458	2.592	2.015	2.001	3.032	2.477	1.391	5.611
ENSG00000275585.2	0	0.08157	0.2446	0	0.0967	0.1205	0.09221	0.1095	0.6114
ENSG00000273516.1	0	0	0	0	0	0	0	0	0
ENSG00000275296.1	0	0	0	0	0	0	0	0	0
ENSG00000198019.12	0.1014	0.4015	0.931	0.7956	1.555	0.4744	0.5145	0	0.2006
ENSG00000234998.1	0	0	0	0	0	0.2409	0	0.08213	0
ENSG00000233029.3	0	0.06051	0.07256	0.07251	0.07172	0.08936	0.2052	0	0.09717
ENSG00000223345.3	1.209	3.544	2.21	0.9515	0.5882	1.535	1.603	1.094	1.29
ENSG00000227193.2	0	0	0	0	0	0	0.4433	0	0
ENSG00000213244.3	0.9175	3.551	2.129	1.083	1.722	1.113	3.102	2.167	2.593
ENSG00000268993.1	0	0	0	0	0	0	0	0	0
ENSG00000188610.12	0.3355	0.3297	0.1977	0.4917	0.4342	0.1984	0.2278	0.04918	0.3726
ENSG00000171943.11	4.28	7.038	3.97	5.007	3.069	2.358	4.213	6.482	3.768
ENSG00000275129.1	0	0	0	0	0	0	0	0	0
ENSG00000230806.1	0.01278	0.02023	0	0.0194	0	0	0	0	0.08665
ENSG00000227082.1	0.3512	0.2342	0.3861	0.2245	0.1388	0.2017	0.1985	0.07859	0.2664
