gene_id	GTEX-N7MT-0826-SM-EV794	GTEX-P78B-2326-SM-EZ6KO	GTEX-Q2AG-2326-SM-EZ6KY	GTEX-S32W-1526-SM-4AD6Z	GTEX-S341-1126-SM-4AD6T	GTEX-S4UY-1426-SM-4AD6Y	GTEX-T5JW-0726-SM-4DM6D	GTEX-TSE9-2826-SM-4DXTF	GTEX-U3ZN-1626-SM-4DXTZ
ENSG00000273443.1	0	0.7487	0	0.4479	0.2692	0.3116	0.7432	0.2302	7.437
ENSG00000237330.2	1.276	0.2382	0.419	0.02771	0.04997	0.02892	42.55	0.05696	115.2
ENSG00000131591.17	16.33	13.74	9.25	10.82	10.78	12.29	17.23	13.6	12.76
ENSG00000223823.1	0	0.06992	0	0	0.02933	0.06791	0.1619	0.1003	0.03029
ENSG00000207730.3	0	0	0	0	0	0	0	0	0
ENSG00000207607.3	0	0	0	0	0	0	0	0	0.5452
ENSG00000198976.1	0	0	0	0	0	0	2.371	0	1.182
ENSG00000272141.1	0.3598	3.137	0.5551	0.3204	0.1444	0.613	17.48	0.05488	12.68
ENSG00000205231.1	0.3941	0.0794	0.1048	0.07389	0	0.0964	0.1379	0.03797	0.086
ENSG00000162571.13	0.4566	0.619	0.2242	0.1186	0.1375	0.1061	0.2741	0.1219	0.3628
ENSG00000186891.13	2.03	6.725	0.6544	0.8079	2.151	1.164	5.027	0.3163	8.202
ENSG00000186827.10	6.716	4.317	1.912	2.383	3.406	4.74	4.924	0.6009	1.214
ENSG00000078808.16	141.4	207.4	270.6	204.5	172.6	192.9	154	209.7	75.3
ENSG00000176022.4	7.651	25.38	15.77	28.83	23.53	27.49	15.78	10.28	7.368
ENSG00000184163.3	2.97	2.004	0.9616	1.17	2.339	2.442	2.342	2.248	4.547
ENSG00000260179.1	0.7217	1.115	0.8312	0.8457	1.159	1.342	0.884	1.008	0.6614
ENSG00000160087.20	32.54	33.79	29.64	30.91	31.21	32.46	24.54	33.93	21.43
ENSG00000230415.1	17.88	12.51	8.544	3.288	5.836	10.94	3.324	4.329	3.635
ENSG00000162572.20	37.32	24.33	18.91	8.786	13.88	15.17	10.61	15.8	15.63
ENSG00000131584.18	112.8	153.5	122.7	86.8	85.78	93.33	130.8	126.7	94.28
ENSG00000278073.1	0	0	0.8166	0	0	0	0	0	0
ENSG00000169972.11	20.13	24.59	17.25	29.54	28.67	25.88	27.8	26.33	33.72
ENSG00000127054.20	171	143.8	126.5	90.53	122.5	117.6	56.25	169	46.4
ENSG00000283712.1	0	0	0.7663	0	0	0	0	0	0
ENSG00000240731.1	108.7	71.59	64.69	40.34	73.75	63.66	22.21	68.04	25.65
ENSG00000224051.6	24.24	36.13	29.93	26.23	32.61	34.45	42.54	21.87	51.22
ENSG00000169962.4	1.896	1.021	0.8638	0.7746	1.606	0.9701	1.812	0.5255	1.457
ENSG00000107404.19	92.51	100	87.6	99.18	79.48	74.42	89.51	118.1	80.89
ENSG00000284372.1	0	0	0	0	0	0	0	0	0.8317
ENSG00000162576.16	253.1	348.2	435.3	111.6	282	459.8	118	297.2	48.37
ENSG00000175756.13	53.68	73.3	63.66	103.8	65.37	76.72	78.2	78.61	68.12
ENSG00000223663.2	0	0.2058	0.6786	0	0.518	1.199	0.1787	0	0.1337
ENSG00000221978.11	481.6	496.2	382.5	248	270.8	274.9	235.4	329.8	122.8
ENSG00000224870.6	12.32	21.45	21.14	23.37	18.21	20.9	16.84	8.869	11.13
ENSG00000242485.5	64.88	67.96	69.91	111.9	76.1	69.14	71.85	91.48	51.33
ENSG00000272455.1	7.422	15.99	4.252	7.51	7.801	4.912	4.737	4.375	2.964
ENSG00000235098.8	7.334	10.93	12.07	8.867	7.791	5.964	16.28	7.482	20.9
ENSG00000225905.1	2.123	3.386	2.01	1.418	4.262	0.9866	8.823	2.429	3.301
ENSG00000205116.3	0.6014	0.2302	0.1012	0.4285	0.6761	0.559	0.1333	0.6606	1.496
ENSG00000225285.1	1.113	1.686	0.7609	4.955	5.249	6.916	2.389	3.628	2.998
ENSG00000179403.11	24.99	36.1	25.03	75.12	37.89	32.41	23.04	35.99	42.79
ENSG00000215915.9	4.723	2.524	1.678	5.777	1.108	1.497	1.462	2.723	1.03
ENSG00000160072.19	59.04	50.3	42.51	49.69	31.53	35.83	32.4	44.71	11.68
ENSG00000197785.13	17.79	20.24	15.32	33.58	17.13	22.25	18.21	20.39	17.62
ENSG00000205090.8	16.6	26.65	17.18	8.861	14.08	17.22	4.04	19.2	2.169
ENSG00000160075.11	47.12	44.77	49.71	51.31	49.96	53.67	57.3	46.42	48
ENSG00000215014.4	0.676	0.5032	0.4979	0.4014	0.8821	1.126	1.467	0.6188	0.4438
ENSG00000274481.1	0	0	0	0.1318	0.1188	0	0	0	0
ENSG00000228594.3	0.3974	2.408	0.4061	0.8089	0.6154	1.952	15.19	0.1299	16.22
ENSG00000272106.1	23	22.19	13.94	11.01	19.93	24.83	11.21	12.48	6.528
ENSG00000197530.12	80.46	73.93	60.96	42.94	44.92	55.38	41.97	84.87	26.07
ENSG00000189409.13	1.581	2.937	2.941	1.334	2.316	4.408	0.7069	5.305	0.3219
ENSG00000248333.8	32.65	39.64	48.4	37.42	38.98	43.58	28.94	43.54	19.78
ENSG00000272004.1	0	0.295	0.3891	0	0.7425	0	0	0	0
ENSG00000189339.11	64.29	60.88	75.71	15.51	45.31	45.89	12.19	53.98	18.8
ENSG00000269737.2	13.7	7.348	9.858	3.477	6.192	5.383	1.622	5.152	3.129
ENSG00000215914.4	0.1164	2.042	0.2449	0.2073	1.308	0.5409	0.1935	1.225	0.1447
ENSG00000008128.22	39.76	37.95	56.39	27.79	27.04	29.62	12.52	34.34	13.47
ENSG00000227775.3	26.7	24	11.4	14.38	16.6	12.65	8.632	8.402	4.153
ENSG00000215790.6	12.59	10.64	9.753	5.557	10.57	12.63	2.902	8.533	4.203
ENSG00000008130.15	36.32	32.38	37.2	40.91	49.2	43.29	24.86	43.9	22.49
ENSG00000078369.17	191.8	172.6	236.9	253	296.7	264	169.6	207.7	121.7
ENSG00000231050.1	0.6532	0.4584	0.2199	0.2327	0.4196	1.154	0.5791	2.093	2.383
ENSG00000169885.9	4.427	3.756	3.039	0.5741	1.208	2.117	4.62	2.4	1.497
ENSG00000178821.12	1.066	0.7053	0.432	1.16	0.8877	0.7706	2.363	0.3614	4.714
ENSG00000142609.17	0.9392	0.425	0.3585	0.06808	0.02631	0.09135	0.0121	0.02999	0.05433
ENSG00000233542.1	0.1514	0.07729	0	0.02697	0	0	0.03356	0	0.07534
ENSG00000187730.8	0.8847	0.5499	0.3818	0.3636	0.07286	0.1687	0.2514	0	0.7147
ENSG00000226969.1	0	0	0	0	0	0.1022	0	0.1007	0
ENSG00000067606.16	1.551	0.6132	1.875	1.8	1.263	4.69	6.052	0.4299	6.43
ENSG00000271806.1	0.09035	0.04804	0.07605	0	0.03628	0.08398	0.267	0.04135	0.1249
ENSG00000182873.5	14.05	14.77	9.051	10.06	13.47	12.93	6.594	15.65	4.874
ENSG00000162585.16	20.64	21.13	19.91	19.02	18.62	23.97	11.66	21.76	8.507
ENSG00000234396.3	1.801	3.283	2.166	0.2292	3.099	0	0.2851	0	1.067
ENSG00000157933.9	54.06	99.52	91.76	90.27	153.9	129.5	45.53	81.3	35.1
ENSG00000116151.13	10.08	4.138	3.93	2.532	3.639	4.175	2.345	6.359	2.097
ENSG00000272161.1	2.761	1.532	1.516	0.8553	0.1928	0.5579	0.3991	2.747	0.4977
ENSG00000269896.2	3.565	4.267	6.125	4.138	2.29	2.559	1.935	1.8	2.365
ENSG00000272420.1	4.376	9.506	1.315	2.784	2.008	2.615	2.656	1.812	0.9503
ENSG00000157916.19	68.02	70.78	83.04	73.28	62.31	65.47	79.92	62.93	97.8
ENSG00000157911.9	10.72	12.79	12.19	13.18	15.07	13.68	16.03	9.952	11.23
ENSG00000149527.17	3.418	1.651	0.5062	1.241	0.8739	1.26	70.07	0.6467	59.69
ENSG00000224387.1	0	0	0	0	0	0	2.018	0	2.912
ENSG00000229393.1	0.3454	0	0.1938	0	0	0.107	1.148	0.1054	2.959
ENSG00000157881.13	22.86	19.66	21.83	21.29	20.7	22.25	13.33	23.61	10.99
ENSG00000197921.5	1.133	1.07	0.1144	0.4036	0.07277	0.1685	0.3013	1.825	2.968
ENSG00000272449.1	1.664	3.033	0.9502	2.381	2.576	7.069	2.963	1.523	1.33
ENSG00000238164.6	5.833	2.348	3.755	1.907	1.702	4.748	1.829	1.654	1.184
ENSG00000157873.17	224.8	121	302.3	74.33	97.71	285.5	76.21	245	41.91
ENSG00000225931.3	2.51	0.6113	0.7297	0.6502	0.1099	0.3817	0.1011	1.712	0.07567
ENSG00000228037.1	9.17	4.704	2.307	1.095	3.948	2.46	0.5238	6.923	0.6271
ENSG00000157870.14	14.24	19.35	14.39	24.39	21.84	23.08	16.52	9.206	15.39
ENSG00000142606.15	0.2474	0.5655	0.6072	0.2937	0.331	0.8238	0.3198	0.09434	0.9571
ENSG00000237058.1	0	0	0	0	0	0	0	0	0
ENSG00000215912.12	1.689	0.8965	0.3088	0.6165	3.285	2.052	0.8439	0.8681	0.155
ENSG00000283259.1	0	0	0	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0.1282	0	0.1263	0
ENSG00000169717.6	0	0	0	0.2225	0.06689	0.07742	0	0.07624	0.06906
ENSG00000177133.10	4.47	6.21	4.616	1.12	3.946	1.316	0.3865	3.134	0.06134
ENSG00000142611.16	3.161	3.46	2.639	2.509	6.618	1.973	0.339	5.327	0.03171
ENSG00000283572.1	0	0	0	0	0	0	0	0	0
ENSG00000226286.1	0	0.0805	0	0	0.1013	0	0	0	0.1046
ENSG00000279839.1	0.1105	0.02821	0	0.07875	0.284	0	0	0.08094	0.01833
ENSG00000272235.1	0	0.02182	0	0	0.08238	0	0.1137	0.0313	0
ENSG00000130762.14	1.561	2.814	2.475	0.4994	0.9979	0.4789	18	1.165	28.94
ENSG00000272088.1	0.3098	0.2965	1.434	0.138	0.7464	0	1.545	0.2836	0.8992
ENSG00000162591.15	29.15	15.4	56.42	9.602	24.36	25.22	54.83	25.03	35.12
ENSG00000207776.1	0	0	0	0	0	0	0	0	0
ENSG00000238260.1	10.37	12.87	10.57	1.949	2.445	2.388	3.269	7.142	1.578
ENSG00000158109.14	65.46	82.9	114.4	90.04	112	106.3	82.97	112.6	70.54
ENSG00000116213.15	27.41	34.53	36.79	34.05	25.81	25.77	18.07	28.22	19.87
ENSG00000078900.14	0.3345	0.5183	0.4927	0.1064	0.1439	0.111	6.447	0.3937	12.57
ENSG00000227589.1	0	0	0	0	0	0.07295	0	0	0
ENSG00000235131.1	0	0	0	0	0	0	0	0	0.1398
ENSG00000227372.11	63.93	40.85	42.11	24.76	27.94	28.12	10.82	38.79	6.531
ENSG00000162592.9	0.1021	0	0.04298	0.06821	0.0615	0.1898	0	0.1402	0.08468
ENSG00000235169.7	7.444	8.311	5.691	2.707	4.932	6.919	1.787	14.93	1.234
ENSG00000130764.9	34.73	42.28	37.01	47.05	51.21	46.69	36.25	33.43	21.54
ENSG00000266075.2	5.38	1.907	3.019	0.7098	0.96	0.7408	0.4416	1.094	1.157
ENSG00000272153.1	14.15	9.211	12.15	3.819	6.543	4.252	6.337	4.318	3.082
ENSG00000116198.12	15	12.92	12.47	14.65	12.54	11.77	7.156	14.64	7.011
ENSG00000169598.15	14.53	15.89	15.21	11.8	9.801	9.474	4.441	7.732	2.675
ENSG00000198912.10	29.83	29.94	30.72	23.95	21.89	21.59	17.94	18.11	13.12
ENSG00000236423.5	0.05825	0.3252	0.1716	0.05188	0.1286	0.1895	0.2421	0	0.169
ENSG00000233304.6	0	0.01939	0	0.01353	0.02441	0.07063	0	0	0
ENSG00000226374.2	0	0.1427	0	0.2277	0.05132	0.1782	0	0.1755	0
ENSG00000229280.1	0	0	0	0	0	0	0	0.2912	0
ENSG00000235054.3	0	0	0	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0	0	0	0
ENSG00000232596.2	0	0	0	0	0.04766	0	0	0	0
ENSG00000196581.10	4.303	4.675	1.883	3.548	2.984	7.081	0.423	2.026	0.03165
ENSG00000231510.1	0	0	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0.112	0.06483	0	0	0
ENSG00000283356.1	0	0	0	0	0	0	0	0	0
ENSG00000236948.2	0.1081	1.069	0.1365	0.09626	0.2604	0.1005	0.5989	0.09894	0
ENSG00000264341.1	0	0	0	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0	0	0	0	0
ENSG00000131697.17	10.14	10.7	7.688	10.85	8.156	7.384	9.15	9.333	4.777
ENSG00000069424.14	5.379	4.062	3.226	5.12	7.445	5.93	5.089	5.299	2.035
ENSG00000116254.17	0.3949	0.2672	0.2619	0.5063	0.7496	0.3949	0.2785	1.983	0.05954
ENSG00000116251.9	661.2	391.9	441.8	325	392.7	310	243	563.1	154.9
ENSG00000226944.1	2.505	1.199	1.449	0.4183	0.5029	0.8731	1.909	0.5732	0.9087
ENSG00000158286.12	65.09	45.98	28.58	19.19	12.48	20.51	23.42	30.22	19.37
ENSG00000116237.15	22.77	33.7	36.84	48.86	44.95	48.29	30.82	28.41	51.11
ENSG00000225077.2	0	0.08963	0	0	0.0282	0.09793	0.1168	0	0.3203
ENSG00000173673.7	0	0	0	0	0	0.07892	0.1882	0	0
ENSG00000158292.6	25.98	38.83	17.18	17.6	33.11	26.73	19.46	18.79	8.15
ENSG00000097021.19	10.58	16.29	15.49	13.7	25.7	14.15	30.17	18.94	32.78
ENSG00000069812.11	0.9194	0.9078	0.1474	0.0195	0.01758	0.07121	54.29	0.01002	41.97
ENSG00000187017.15	1.522	4.877	0.7715	0.2853	0.7861	0.4797	15.88	0.839	20.23
ENSG00000265392.1	0	0	0	0	0	0	0	0	0
ENSG00000231868.1	0.5332	0	0	0	0	0	0.1969	0.3254	0.8841
ENSG00000215788.9	54.6	71.32	27.82	12.06	14.06	16.55	39.24	30.79	42.17
ENSG00000171680.21	38.8	50.19	17.11	9.137	18.45	23.62	37.62	19.33	38.24
ENSG00000162408.10	11.19	13.67	11.09	12.12	14.39	12.76	9.795	9.744	4.923
ENSG00000253022.1	0	0.3401	0	0	0	0	0	0	0
ENSG00000229519.2	0.5903	0.4708	0.2484	0	0.5925	0.823	0	0.1351	0
ENSG00000173662.20	0.307	0.3656	0.31	0.2551	0.3944	0.2663	0.04536	0.03746	0.06787
ENSG00000204859.12	50.66	54.04	47.47	41.92	34.77	34.44	27.58	44.4	29.46
ENSG00000162413.16	31.65	36.27	29.25	30.17	59.92	47.34	36.17	45.96	49.13
ENSG00000116273.5	42.54	53.86	44.07	31.49	52.34	51.33	17.87	48.12	40.23
ENSG00000041988.15	32.77	33.17	31.6	19.83	21.41	21.54	10.48	34.65	9.1
ENSG00000007923.15	20.84	21.82	24.39	21.68	23.41	22.44	19.87	16.35	14.95
ENSG00000228750.6	0.02705	0	0	0	0	0	0	0	0
ENSG00000237436.1	0.9982	0.5459	0	0.254	0.3435	1.193	0.6321	0.1305	0
ENSG00000171735.18	7.208	6.973	7.005	7.838	6.854	7.686	5.648	8.396	3.986
ENSG00000227950.1	0.4139	0.5281	0	0	0	0	0	0.1894	0
ENSG00000237365.1	0	0	0	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0	0	0	0
ENSG00000237402.1	0.1621	0.3103	0	0	0.1302	0.1507	0.1797	0.1484	0
ENSG00000237728.2	0	0	0	0	0	0	0	0	0
ENSG00000225126.1	1.639	0	0.8279	0.876	0.7898	1.219	0	0	0.1359
