gene_id	GTEX-N7MT-0826-SM-EV794	GTEX-P78B-2326-SM-EZ6KO	GTEX-Q2AG-2326-SM-EZ6KY	GTEX-S32W-1526-SM-4AD6Z	GTEX-S341-1126-SM-4AD6T	GTEX-S4UY-1426-SM-4AD6Y	GTEX-T5JW-0726-SM-4DM6D	GTEX-TSE9-2826-SM-4DXTF	GTEX-U3ZN-1626-SM-4DXTZ
ENSG00000252688.1	0	0	0	0	0	0	0	0	0
ENSG00000222068.1	0	0	0	0	0	0	0	0	0
ENSG00000232474.1	0	0	0.08991	0	0	0	0.3551	0	0.7972
ENSG00000223430.1	0	0	0	0	0	0	0	0	0
ENSG00000200708.1	0	0	0	0	0	0	0	0	0.3176
ENSG00000152127.8	11.26	12.15	12.94	11.45	18.22	14.18	7.692	11.63	10.3
ENSG00000263813.1	0	0	0	0	0	0	0	0	0
ENSG00000222921.1	0	0	0	0	0	0	0	0	0
ENSG00000234060.1	0	0	0	0	0	0	0	0	0
ENSG00000152128.13	0.4379	0.07982	0.2896	0.5571	0.3265	0.2616	0.416	0.4008	0.1297
ENSG00000224043.7	3.189	1.47	2.833	1.578	2.419	1.894	1.571	3.649	1.175
ENSG00000234682.1	0	0	0	0	0.401	0	0	0	0
ENSG00000228098.1	0	0	0	0	0	0	0.863	0	0
ENSG00000153086.13	0.2218	0.0283	0.03734	0.03951	0.1425	0.1237	0.09833	0.04061	0
ENSG00000263783.1	0	0	0	0	0	0	0	0	0
ENSG00000082258.12	45.08	30.46	39.17	24.18	30.38	29.33	22.26	23.86	13.36
ENSG00000176601.12	0.07244	0.1386	0.1306	0.06451	0.08309	0.02885	0.06881	0.03789	0
ENSG00000115839.17	41.13	40.41	47.43	36.47	48.5	42.87	27.9	35.19	34
ENSG00000208308.1	0.9247	0	0.7783	0.8235	0	0	0	0	0
ENSG00000121988.17	3.426	1.456	1.636	1.923	1.48	1.244	1.324	1.588	1.319
ENSG00000235651.1	0.3387	0.2971	0.1781	0.1508	0	0.118	0.1877	0.0775	0.5265
ENSG00000048991.16	16.23	13.9	12.91	15.59	14.84	15.05	9.878	10.54	10.74
ENSG00000201308.1	0	0	0	0	0	0	0	0	0
ENSG00000207654.4	0	0	0	0	0	0	0	0	0
ENSG00000144224.16	97.99	74.13	80.93	80.02	85.3	82.48	63.91	69.84	65.39
ENSG00000115850.9	0.05457	0.02321	0	0	0.1022	0.03381	0.03024	0.01665	0
ENSG00000200664.1	0	0	0	0	0	0	0	0	0
ENSG00000226806.1	0	0	0	0	0	0	0	0	0.05504
ENSG00000076003.4	23.63	25.69	30.89	23.08	30.4	27.19	13.36	22.01	28.57
ENSG00000214070.3	0	0	0	0	0	0	0	0	0
ENSG00000115866.10	80.02	78.15	69.12	68.86	83	70.71	62.67	62.85	64.39
ENSG00000231890.7	0.1512	0.193	0.1671	0.0926	0.1214	0.09664	0.6809	0.06057	0.7524
ENSG00000237262.1	0	0	0	0	0.1013	0	0	0	0
ENSG00000121966.6	42.15	16.09	10.8	30.52	52.52	31.83	27.19	21.9	11.52
ENSG00000227347.1	0.2129	0.4346	0.1792	0	0.1709	0.3166	0.2359	0.1949	0.3177
ENSG00000279024.1	0	0	0	0	0	0	0	0.02173	0
ENSG00000230037.1	0.1251	0	0	0	0.5023	0.3489	0.2773	0	0.1037
ENSG00000251976.1	0	0	0	0	0	0	0	0	0
ENSG00000229568.1	0	0	0	0	0	0	0	0	0
ENSG00000144229.11	0.3088	0.197	1.429	0.1294	0.2042	0.09286	0.4127	0.008314	0.7757
ENSG00000212425.1	0	0	0	0	0	0	0	0	0
ENSG00000222394.2	0	0	0	0	0	0	0	0	0
ENSG00000150540.13	26.44	29.96	25.22	16.25	33.8	36.11	7.019	19.86	9.183
ENSG00000224231.1	0.214	0	0	0	0	0	0	0	0
ENSG00000233045.1	0.2787	0.05927	0	0	0	0.6044	0	0.3402	0
ENSG00000234645.3	0.3094	0	0.1953	0.2067	0.2485	0.3595	0.2572	0.1416	0.06414
ENSG00000237939.1	0	0	0	0.1617	0	0	0	0	0
ENSG00000232915.1	0.09446	0	0.07951	0	0	0	0.05234	0	0
ENSG00000228043.5	1.758	0.8627	0.607	1.044	0.3619	0.9216	0.4495	0.5363	0.3364
ENSG00000230569.1	0	0	0	0	0	0	0	0	0
ENSG00000144228.8	22.38	14.31	18.75	9.978	16.82	12.94	10.82	17.33	9.722
ENSG00000241772.2	0.195	0.1244	0.08206	0.08683	0	0	0	0	0
ENSG00000260059.1	0.04282	0.02732	0.07208	0.1525	0.06877	0.0398	0.04746	0.0196	0
ENSG00000237772.1	0.3481	0.2776	0.293	0.155	0.1398	0.08089	0.1929	0.3187	0
ENSG00000144227.4	0.3375	0.8255	0	0.7014	0.4066	0.8889	0	0	0
ENSG00000222826.1	0	0	0	0	0	0	0	0	0
ENSG00000229104.1	0	0.03983	0	0	0	0	0	0	0
ENSG00000232992.2	0	0	0	0	0	0	0	0	0
ENSG00000226939.1	0	0	0	0	0	0	0	0	0
ENSG00000229131.1	0	0	0	0	0	0	0	0	0
ENSG00000206901.1	0	0	0	0	0	0	0	0	0
ENSG00000235232.1	0	0	0	0	0	0	0	0	0
ENSG00000228374.1	0	0	0	0	0	0	0	0	0
ENSG00000223554.1	0	0	0	0	0	0	0	0	0
ENSG00000240977.3	0	0	0	0	0	0	0	0	0
ENSG00000224028.1	0	0	0	0	0	0	0	0	0
ENSG00000227149.1	0	0	0	0	0	0	0	0	0
ENSG00000231567.1	0	0	0	0	0	0	0	0	0
ENSG00000223921.1	0	0	0	0	0	0	0	0	0
ENSG00000168702.17	0.2461	0.03413	0.1471	0.08259	0.106	0.0431	0.5692	0.06856	1.31
ENSG00000277306.1	0	0	0	0	0	0	0	0	0
ENSG00000283506.1	0	0	0	0	0	0	0	0	0
ENSG00000236440.1	0	0.1427	0	0	0.1797	0	0	0	0
ENSG00000238065.1	0.08652	0	0	0	0	0	0	0	0.287
ENSG00000201892.1	0	0	0	0	0	0	0	0	0
ENSG00000252015.1	0	0	0	0	0	0	0	0	0
ENSG00000233329.1	0	0	0	0	0	0	0	0	0
ENSG00000244125.1	0	0	0	0	0	0	0	0	0
ENSG00000228134.1	0	0	0	0	0	0	0	0	0
ENSG00000229781.1	0.3108	0	0	0	0.02496	0.02889	0	0	0
ENSG00000115919.14	0.8297	0.09043	0.05529	0.4064	0.1999	0.09961	0.5402	0.09177	0.7482
ENSG00000270390.1	0	0	0	0	0	0	0	0	0
ENSG00000075884.13	5.27	3.587	8.534	1.865	2.645	1.268	1.33	3.381	0.4584
ENSG00000224288.2	0	0	0	0	0	0	0	0	0
ENSG00000226839.1	0	0	0	0	0	0	0	0	0
ENSG00000224852.1	0	0	0	0	0	0	0	0	0
ENSG00000232772.1	0	0	0	0	0	0	0	0	0
ENSG00000236300.2	0	0	0	0	0	0	0	0	0
ENSG00000227557.1	0	0	0	0	0	0	0	0	0
ENSG00000225476.1	0	0	0	0	0	0	0	0	0
ENSG00000284167.1	0	0	0	0	0	0	0	0	0
ENSG00000231766.1	0	0	0	0	0	0	0	0	0
ENSG00000257284.1	0	0	0	0	0	0	0	0	0
ENSG00000228655.6	0.1911	0.04064	0	0.05673	0	0.1184	0	0.05831	0
ENSG00000257640.1	0.3509	0.1492	0	0	0	0	0	0	0
ENSG00000258268.1	0.249	0.3177	0.6986	0.07392	0.2666	0	0.09198	0	0
ENSG00000283994.1	0.4291	0.5724	1.248	0.1737	0.2506	0.2176	0.1729	0.1785	0.1294
ENSG00000231758.2	0	0	0	0	0	0	0	0	0
ENSG00000257277.1	0.2678	0.04271	0.05635	0.05962	0	0.2489	0	0.2451	0
ENSG00000257226.1	0	0.2199	0.4836	0.1023	0.1846	0	0.2547	0	0
ENSG00000236356.1	0	0.1627	0	0	0	0	0	0	0
ENSG00000200287.1	0	0	0	0	0	0	0	0	0
ENSG00000232377.1	0.4629	0.464	0.3896	0	0.3186	0.676	0.8793	0.1816	0.1097
ENSG00000121964.14	7.198	7.066	9.149	4.11	8.409	6.019	2.535	6.112	1.213
ENSG00000169554.18	33.2	34.62	46.04	16.04	35.6	23.82	10.48	20.11	3.682
ENSG00000283118.1	0	0.05863	0.07734	0	0	0	0	0.1682	0
ENSG00000279166.1	0.9735	0.9533	1.791	0.04033	0.1091	0.1052	0.07527	0.5803	0.01877
ENSG00000238057.8	1.957	1.216	2.211	0.09174	0.5377	0.2872	0.2854	1.084	0.04271
ENSG00000232606.1	1.962	2.92	0.9632	0	1.313	0.1519	0.1812	0.8979	0.5422
ENSG00000226674.8	0.6249	1.906	2.511	0.8015	0.77	0.3434	0.8711	1.108	0.1988
ENSG00000234940.1	0	0	0	0	0	0	0	0	0
ENSG00000276706.1	0	0	0	0	0	0	0	0	0
ENSG00000235352.1	0	0	0	0	0	0	0	0	0.08025
ENSG00000268580.1	0	0	0.1213	0	0	0	0	0	0
ENSG00000235435.1	0	0	0	0	0	0	0	0	0
ENSG00000214064.3	0	0	0.1203	0	0	0	0	0	0
ENSG00000225107.1	0	0	0	0	0	0	0	0	0
ENSG00000226218.1	0	0	0	0	0	0	0	0	0
ENSG00000234119.1	0	0	0	0	0	0	0	0	0
ENSG00000279876.1	0	0	0	0	0	0	0	0	0
ENSG00000233842.1	0	0.1011	0.1334	0	0	0	0	0.145	0
ENSG00000251905.1	0	0	0	0	0	0	0	0	0
ENSG00000230559.1	0	0	0	0	0	0	0	0	0
ENSG00000227134.1	0	0	0	0	0	0	0	0	0
ENSG00000198526.7	0	0	0	0	0	0	0.07267	0	0
ENSG00000271583.1	0	0	0	0	0	0	0	0	0
ENSG00000231040.1	0	0	0	0	0	0	0	0	0
ENSG00000227902.2	0	0	0	0	0	0	0	0	0
ENSG00000207225.1	0	0	0	0	0	0	0	0	0
ENSG00000207161.1	0	0	0	0	0	0	0	0	0
ENSG00000202074.1	0	0	0	0	0	0	0	0	0
ENSG00000253083.1	0	0	0	0	0	0	0	0	0
ENSG00000229143.1	0	0	0	0	0	0	0	0	0
ENSG00000121989.14	10.57	11	14.42	8.041	12.02	10.2	16.13	6.887	8.961
ENSG00000212389.1	0	0	0	0	0	0	0	0	0
ENSG00000223911.1	0	0	0.1649	0	0	0	0	0	0
ENSG00000115947.13	17.97	11.66	11.38	8.576	10.97	10.76	7.854	11.66	7.998
ENSG00000204406.12	4.561	2.607	3.121	1.974	2.832	2.777	1.302	2.472	1.539
ENSG00000281469.1	2.758	3.739	0.9672	1.944	1.384	1.922	1.401	4.418	1.715
ENSG00000281772.1	1.256	1.514	1.057	0.1243	0.6725	0.7784	0	1.916	0.6944
ENSG00000212181.1	0	0	0	0.3904	0	0	0	0	0.3635
ENSG00000224007.1	0	0	0	0	0	0.2149	0	0	0
ENSG00000232238.1	2.077	0.8832	4.661	0	0	0	0	0	0
ENSG00000135999.11	31.2	29.32	34.01	24.71	34.25	29.05	15.83	20.8	7.055
ENSG00000222126.1	0	0	0	0	0	0	0	0	0
ENSG00000223962.1	0	0	0	0	0	0	0	0	0.2036
ENSG00000231079.7	0.09968	0	0.01199	0	0.02287	0	0.01578	0	0
ENSG00000228848.3	0	0	0.2783	0	0	0	0.3664	0	0
ENSG00000226340.1	0	0	0.3656	0	0.1744	0	0	0	0
ENSG00000168280.16	2.378	4.886	33.82	13.2	8.519	4.233	4.824	10.94	0.8823
ENSG00000150556.16	0.361	0.5807	0.02642	0.1118	0.5923	0.2626	6	0.2011	2.993
ENSG00000228236.2	0	0.1199	0	0	0	0.3492	0	0.172	0.3116
ENSG00000224337.1	0	0	0	0	0	0.1303	0	0	0
ENSG00000187123.14	0.5527	0.7652	1.633	0.4189	0.9348	1.005	0.3909	0.6566	1.394
ENSG00000223604.1	0	0	0	0	0	0	0	0	0
ENSG00000168288.12	97.06	76.74	91.5	99.59	106.2	102.5	90.07	105.7	90.74
ENSG00000231969.1	2.946	1.389	2.48	0.1141	0.3086	0.4762	1.42	0.7035	0
ENSG00000207270.1	0	0	0	0	0	0	0	0	0
ENSG00000162947.4	0	0.01754	0	0.02448	0	0	0	0	0
ENSG00000230645.1	0	0	0	0	0	0	0	0	0
ENSG00000231420.1	0	0	0	0	0	0	0	0	0
ENSG00000115963.13	32.54	20.69	127.3	60.88	24.71	57.94	165.9	42.34	86.05
ENSG00000236049.1	0	0	0	0	0	0	0	0	0
ENSG00000237220.1	0	0	0	0	0	0	0	0	0
ENSG00000232359.1	0.2084	0	0	0	0	0	0	0	0
ENSG00000224048.5	0	0	0.07357	0	0	0.08125	0	0.08002	0
ENSG00000228064.1	0	0	0	0	0	0	0	0	0
ENSG00000222031.1	0	0	0	0	0	0	0	0	0
ENSG00000236885.1	0	0	0	0	0	0	0	0	0
ENSG00000213201.3	0	0	0	0	0	0	1.019	0	0.7627
ENSG00000184898.6	15.26	8.292	6.885	4.771	11.88	10.88	6.187	5.914	2.892
ENSG00000123609.10	22.82	16.92	16.32	22.42	17.07	15.29	21.02	11.64	29.28
ENSG00000123610.4	4.281	10.9	11.72	25.54	5.073	7.957	2.395	6.201	0.2068
ENSG00000242113.3	0	0.265	0.3495	0	0	0	0	0.1901	0
ENSG00000080345.17	17.47	12.21	13.45	11.37	15.71	13.57	7.936	10.25	5.659
ENSG00000183091.19	0.1834	0.1545	0.3125	0.1371	0.1109	0.1157	0.138	0.1865	0.3547
ENSG00000162980.16	17.4	12.6	14.26	14.1	14.91	13.12	17.3	12.73	12.92
ENSG00000182389.19	0.7565	1.165	0.6534	0.3281	0.6107	0.4933	0.3599	0.5148	0.3547
ENSG00000225214.1	0	0	0	0.271	0	0	0	0	0
ENSG00000115145.9	20.78	20.14	21.9	20.54	19.89	21.75	14.33	13.73	12.59
ENSG00000234272.1	2.237	0.519	2.739	1.268	0.1633	0	0.4508	0.1862	0.3373
ENSG00000199884.1	0	0	0	0	0	0	0	0	0
ENSG00000157827.19	57.68	37.15	60.74	24.23	35.62	35.94	12.82	39.33	14.26
ENSG00000213197.3	1.45	0.2176	2.225	0	0	0	0.0945	0.7806	0.3535
ENSG00000270776.1	0.2562	0.3269	0	0	0	0.2381	0	0	0
ENSG00000196504.15	47.82	30.7	28.9	31.68	33.07	31.35	26.61	26.82	22.99
ENSG00000177917.10	15.25	15.15	20.59	11.18	15.16	11.77	14.17	8.483	16.23
ENSG00000234932.2	0	0	0	0	0	0	0	0	0
ENSG00000226213.1	0	0	0	0	0	0	0	0	0
ENSG00000214025.2	0	0	0	0	0	0	0	0	0
ENSG00000224612.1	0	0	0	0	0	0	0	0	0
ENSG00000226338.1	0	0	0	0	0.6093	0	0	0	0
ENSG00000227708.1	0	0	0	0	0	0	0	0	0
ENSG00000214024.2	0	0.1667	0	0.2327	0.4196	0	0	0	0
ENSG00000242575.1	0.6933	1.005	0.1061	0.6735	0	0.3515	0	0.1154	0
ENSG00000227400.2	0	0	0	0	0	0	0	0	0
ENSG00000200377.1	0	0	0	0	0	0	0	0	0
ENSG00000177519.3	7.805	52.95	9.955	80.37	18.64	23.48	4.637	17.49	0.06672
ENSG00000236917.1	0	0	0	0	0	0	0	0	0
ENSG00000144278.14	0.3958	2.672	1.03	0.8033	0.6504	0.7613	0.0408	0.337	0.03053
ENSG00000230251.1	0	0.5864	0.238	0.1259	0	0.06572	0	0	0
ENSG00000224675.1	0	0.03197	0	0	0	0	0.02777	0.04587	0
ENSG00000238004.1	0.2316	0	0	0	0	0	0	0	0
ENSG00000223290.1	0	0	0	0	0	0	0	0	0
ENSG00000235949.1	0.822	1.748	2.883	0	0.66	0.382	0.1518	0	0.1136
ENSG00000162989.4	0.7942	5.998	22.18	0.7073	2.063	0.8793	2.187	1.08	0.3002
ENSG00000228837.2	0	0	0	0	0	0	0	0	0
ENSG00000230991.1	0	0.09607	0	0	0	0	0	0	0
ENSG00000223197.1	0	0	0	0	0	0	0	0	0
ENSG00000232982.1	0	0	0	0	0	0	0	0	0
ENSG00000229701.1	0	0	0	0	0	0	0	0	0
ENSG00000227682.2	0	0	0.1984	0	0	0	0.3919	0	0
ENSG00000233709.1	0	0	0	0	0	0	0	0	0
ENSG00000233039.1	0	0	0	0	0	0	0	0	0
ENSG00000233248.1	0	0	0	0	0	0	0.2527	0	0
ENSG00000229935.1	0	0	0	0	0	0	0	0	0
ENSG00000206718.1	0	0	0	0	0	0	0	0	0
ENSG00000226383.6	1.133	1.029	0.11	0.3493	0.4549	1.013	5.24	0.6781	1.445
ENSG00000235548.1	0.1419	0	0	0	0	0	0.9437	0	0
ENSG00000282440.1	0	0.1112	0	0	0.06999	0	0.1932	0	0.1445
ENSG00000153234.13	14.26	8.128	21.18	20.77	32.07	10.34	2.811	27	2.622
ENSG00000115159.15	15.83	10.94	10.53	11.26	10.13	11.27	13.29	7.734	21.27
ENSG00000283436.1	0	0	0	0	0	0	0	0	0
ENSG00000238069.1	0	0	0	0	0	0	0	0	0
ENSG00000213194.3	0	0	0	0	0.1371	0	0	0	0
ENSG00000136542.8	0.8593	0.05538	0.1023	0.04638	0.09758	0	10.35	0.01589	7.204
ENSG00000222404.1	0	0	0	0	0	0	0.1863	0	0.1394
ENSG00000136541.14	0.2694	0.4555	0.2268	0.4919	0.6058	0.3881	0.8958	0.1973	0.07819
ENSG00000230562.3	0.3426	0	0.2163	0.4576	0.1375	0	0	0.0784	0.07101
ENSG00000115165.9	11.33	3.665	3.094	5.135	6.243	2.521	4.118	6.601	2.149
ENSG00000123612.15	0.6114	1.339	0.948	0.7337	0.708	0.2871	0.1569	1.249	0.1227
ENSG00000234584.1	7.818	6.789	10.24	0.5802	0.3488	0.7065	0.4814	3.379	0.9004
ENSG00000115170.13	26.56	43.17	43.99	32.24	53.77	45.88	22.63	32.27	11.03
ENSG00000007001.12	0.9206	0.1788	0.4717	0.08912	0.04821	0.07441	0.04436	0.3481	0.03319
ENSG00000270557.1	5.027	4.49	1.297	1.791	1.023	1.744	1.56	2.209	0.2223
ENSG00000251980.1	0	0	0	0	0	0	0	0	0
ENSG00000271320.1	2.869	2.632	1.283	0.3993	0.216	0.1667	0.3975	0.9849	0.1487
ENSG00000228937.1	0	0	0.1347	0	0	0	0	0	0
ENSG00000212410.1	0	0	0	0	0	0	0	0	0
ENSG00000231158.1	0	0.2199	0	0	0.1846	0	0	0	0
ENSG00000237327.1	0.1658	0	0.5581	0	0	0	0	0	0
ENSG00000227480.2	0	0	0	0	0	0	0	0	0
ENSG00000153237.17	4.285	1.124	1.122	0.5795	0.7137	0.5753	0.6683	0.7118	0.2105
ENSG00000234890.1	0	0	0	0	0.06328	0.1465	0	0	0
ENSG00000243723.3	0.1999	0	0	0	0	0	0	0	0
ENSG00000144283.21	78.19	37	34.39	41.56	33.01	33.29	38.92	31.65	21.71
ENSG00000227331.1	0.2219	1.605	0.6226	0.9223	0.0594	0.9626	0.7378	0.948	0.7974
ENSG00000204380.4	6.498	1.778	2.709	1.227	0.9082	1.414	1.538	2.692	1.492
ENSG00000228586.1	0	0	0	0	0	0	0.5144	0	0.2886
ENSG00000231675.1	0	0	0	0.6058	0	0	0	0	0
ENSG00000163331.11	1.281	1.88	0	0.1141	0	0	188	0.1173	139.5
ENSG00000243792.1	0	0	0	0	0	0	0.9912	0	0.2472
ENSG00000251491.2	0	0	0	0	0	0	2.506	0	0.7336
ENSG00000188668.4	0	0	0	0	0	0	0	0	0.09537
ENSG00000222300.1	0	0	0	0	0	0	0	0	0
ENSG00000115183.14	45.75	43.14	26.81	27.04	43.58	47.88	35.36	22.85	33.22
ENSG00000213189.5	1.197	0.5456	1.152	1.066	0.5494	1.272	0.7582	0.6263	0.2836
ENSG00000202029.1	0	0	0	0	0	0	0	0	0
ENSG00000226878.2	0	0	0	0	0	0	0	0	0.09259
ENSG00000275141.1	0	0	0	0	0	0	0	0	0
ENSG00000196151.10	21.87	20.2	17.12	12.89	16.54	17.21	9.523	15.5	8.711
ENSG00000123636.17	20.46	15.83	12.62	6.723	8.986	11.93	7.804	9.555	6.956
ENSG00000223642.7	0.5681	0.2718	0.3985	0.08433	0.03802	0.484	0.3148	0.2167	0.1178
ENSG00000270893.1	0.6683	0.1421	0	0.2645	0	0.2761	0.2469	0.6117	0.2463
ENSG00000207117.1	0	0	0.9672	0	0	0.534	0	0.5259	0
ENSG00000224152.1	4.395	6.376	4.51	3.646	6.285	6.323	4.27	4.794	2.346
ENSG00000226266.6	0.6083	0.3742	0.4023	0.2709	0.2442	0.4039	0.313	0.7159	0.3783
ENSG00000230783.1	0.4642	0.2961	0.06511	0.2756	0.1242	0	0	0	0.06414
ENSG00000136536.14	108.7	83.46	80.28	51.51	67.34	61.04	60.53	72.82	78.2
ENSG00000241399.6	35.43	34.27	52.13	47.14	60.44	46.44	13.26	47.71	6.291
ENSG00000054219.10	4.776	0.9155	2.598	3.008	1.973	1.556	5.044	0.9951	5.594
ENSG00000227055.1	0	0.1504	0	0.21	0.1893	0	0	0	0
ENSG00000153246.12	15.66	9.95	22.8	3.998	6.071	7.446	10.48	10.36	8.915
ENSG00000115221.10	2.141	0.2732	0.02351	0.06633	0.1196	0.1731	23.42	0.1193	11.3
ENSG00000153250.19	78.49	66.36	70.05	74.65	75.59	86.4	40.45	62.98	33.91
ENSG00000279844.1	0	0	0	0	0	0	0	0	0
ENSG00000244372.3	0	0	0	0	0	0	0	0	0
ENSG00000232337.1	0	0	0	0	0	0	0	0	0
ENSG00000224467.1	0	0	0	0	0	0	0	0	0
ENSG00000136560.13	18.47	18.29	22.67	17.99	24.96	18.79	17.69	15.63	13.92
ENSG00000235724.8	0.8973	0.2793	0.5158	0.07797	0.1406	0.08137	0.2425	0.0601	0.1815
ENSG00000227403.1	0.156	0.04977	0	0.06947	0	0.29	0.1729	0.1666	0.8193
ENSG00000225813.1	0.1651	0	0	0	0	0	0	0	0
ENSG00000115233.11	22.27	24.45	24.94	52.63	36.44	40.84	41.77	16.91	48.65
ENSG00000232320.6	1.042	0.5172	2.437	2.372	3.627	2.691	1.412	1.484	1.344
ENSG00000271924.1	0	0	0.8515	0	0.4062	0.4701	1.121	0.463	0
ENSG00000136535.14	0.01528	0	0	0.01361	0	0.0284	0	0	0
ENSG00000224076.5	0	0	0	0	0.1159	0	0.16	0	0
ENSG00000144290.16	0	0.01581	0	0.007356	0.02653	0	0	0	0
ENSG00000251621.1	0	0	0	0	0	0	0	0	0
ENSG00000280105.1	0.03302	0	0	0	0	0	0	0	0
ENSG00000226121.2	0.1215	0.1328	0.2045	0.255	0.4668	0.1452	0.03846	0.4686	0.05755
ENSG00000238570.1	0	0	0	0	0	0	0	0	0
ENSG00000226946.1	0	0	0	0	0	0	0	0.03217	0
ENSG00000235716.1	0	0	0	0	0	0	0	0	0
ENSG00000234732.1	0	0	0	0	0	0	0	0	0
ENSG00000197635.9	4.085	2.078	2.178	1.497	2.141	10.6	16.91	0.8896	7.688
ENSG00000230918.1	0.7587	0.5647	0.9579	0.3379	0.1015	0.5877	2.242	0	0.5243
ENSG00000231445.1	1.204	0.256	1.688	0	0	0.7458	2.001	0.5509	0.6654
ENSG00000224674.1	0.03262	0	0	0	0	0	0	0	0
ENSG00000233397.1	0	0	0	0	0	0	0	0	0
ENSG00000115263.14	0	0.02911	0	0.08127	0	0	0	0	0.3027
ENSG00000236841.7	3.347	4.034	1.741	0.3295	0.5402	2.767	0.1305	0.8928	0.1116
ENSG00000078098.13	46.15	30.59	14.97	10.82	22.96	90.65	3.888	10.78	1.718
ENSG00000115267.5	21.13	7.922	7.921	9.52	9.689	7.847	9.294	5.465	29.3
ENSG00000115271.10	12.6	10.26	9.481	9.995	12.28	9.343	7.13	6.736	6.545
ENSG00000184611.11	0	0	0	0	0.07945	0.03449	0	0.02264	0
ENSG00000212312.1	0	0	0	0	0	0	0	0	0
ENSG00000237750.2	0	0	0	0	0	0	0	0.03613	0
ENSG00000230282.1	0	0	0.1326	0	0	0	0	0	0
ENSG00000200902.1	0	0	0	0	0	0	0	0	0
ENSG00000182263.13	12.39	6.536	12.17	2.539	9.794	6.069	1.108	5.144	0.2813
ENSG00000237844.1	0	0	0	0	0	0	0	0	0
ENSG00000226847.1	0	0	0	0	0	0	0	0	0
ENSG00000229641.1	0	0	0	0	0	0	0	0	0
ENSG00000115290.9	0.5401	1.318	0.9883	1.004	0.5657	0.3274	0.1301	0.3869	0.2726
ENSG00000277998.1	3.016	3.848	5.076	0.6714	0.7567	1.226	1.253	2.588	0.1563
ENSG00000082438.15	6.102	5.703	7.502	5.33	10.72	5.86	18.3	5.268	33.05
ENSG00000224331.2	2.864	1.583	2.732	0.51	1.533	1.419	4.443	3.145	8.706
ENSG00000206869.1	1.754	0.839	1.845	0.3904	0.352	0.8149	4.372	0.8025	5.452
ENSG00000236283.4	0.05822	0.0681	0.08167	0.06049	0.06233	0.009019	0.2043	0	0.4264
ENSG00000199508.1	0	0	0	0	0	0	0	0	0
ENSG00000223318.1	0.5859	0.3738	0	0	0.941	0	1.299	0	0
ENSG00000169507.9	2.322	1.307	2.719	0.5395	2.143	1.207	1.806	1.333	0.3109
ENSG00000153253.16	0.4923	0.228	0.7039	1.694	1.966	0.8149	0.1121	0.605	0.1286
ENSG00000136531.15	0.4871	0.4587	0.1581	0.5932	0.4854	0.2782	0.1008	0.1397	0.1509
ENSG00000233204.1	0	0	0	0	0	0.1382	0	0	0
ENSG00000178662.15	2.247	3.447	3.893	2.013	2.89	2.806	1.164	1.164	0.949
ENSG00000115339.13	1.948	2.287	3.268	0.8443	2.545	0.8208	18.51	0.6895	30.99
ENSG00000235192.1	1.064	0.1358	0.6271	0.1896	0.3419	0.1979	2.359	0	0.9708
ENSG00000229195.1	0.7944	0.2534	2.34	0	0.6379	0.3692	0.4402	0	0
ENSG00000232411.1	0.117	0.2985	1.28	0.2083	1.127	0.3261	0.1296	0	0.4849
ENSG00000123607.14	23.61	15.25	20.71	13.66	16.58	16.47	9.921	19.61	6.41
ENSG00000224490.5	0.1141	0	0.024	0	0.0458	0.07952	0.06321	0.05221	0.02365
ENSG00000236107.7	0	0.01688	0.02227	0	0.01062	0.0123	0.01466	0	0.04388
ENSG00000144285.17	0.0391	0.02851	0	0.004975	0.02243	0.01557	0	0.01023	0.02316
ENSG00000238813.1	0	0	0	0	0	0	0	0	0
ENSG00000222376.1	0	0	0	0	0	0	0	0	0
ENSG00000169432.14	2.012	0.998	1.71	0.6292	1.312	1.46	0.3355	0.5658	0.136
ENSG00000136546.13	31.41	11.21	14.8	5.444	22.77	13.39	2.299	11.16	0.3894
ENSG00000283657.1	1.965	0	0.4134	0.4374	0.1972	0	0	0.4496	0
ENSG00000163092.19	0.03179	0.005795	0.007645	0.03236	0.04376	0.02955	0	0	0.03766
ENSG00000225182.1	0	0	0	0	0	0	0	0	0
ENSG00000254552.1	0	0	0	0	0	0	0	0	0.06323
ENSG00000228222.1	0	0.08172	0.1078	0	0.2057	0	0	0	0
ENSG00000238357.1	0	0	0	0	0	0	0	0	0
ENSG00000214211.2	0	0	0	0.04387	0	0	0	0.04509	0
ENSG00000235335.2	0.2607	0.05544	0	0	0	0	0	0	0
ENSG00000172318.5	0.3902	0.4357	1.786	0.6516	1.4	0.6347	0.6487	0.2232	0
ENSG00000198648.10	15.41	16.28	30.87	12.68	15.92	12.52	39.72	12.17	39.2
ENSG00000238259.1	0	0.3776	0.3321	0	0.3168	0	0	0	0.3271
ENSG00000241074.3	0	0	0	0	0	0	0	0	0
ENSG00000172292.14	11.56	8.509	16.19	7.72	15.6	10.26	12.62	12.44	14.14
ENSG00000265694.1	0	0	0	0	0	0	0	0	0
ENSG00000199348.1	0	0	0	0	0	0	0	0	0
ENSG00000227617.8	0	0.029	0.03826	0.04048	0.0365	0.04225	0.1511	0.2496	0.1131
ENSG00000163072.15	93.45	21.95	18.22	23.14	34.94	41.72	8.281	27.36	3.077
