Gene stable ID,Transcript stable ID,Gene type
ENSG00000292338,ENST00000711204,protein_coding
ENSG00000285425,ENST00000642609,protein_coding
ENSG00000285246,ENST00000645521,protein_coding
ENSG00000292339,ENST00000711197,protein_coding
ENSG00000284752,ENST00000646846,protein_coding
ENSG00000292343,ENST00000711132,protein_coding
ENSG00000292344,ENST00000711184,protein_coding
ENSG00000292345,ENST00000711173,protein_coding
ENSG00000292348,ENST00000711165,protein_coding
ENSG00000284915,ENST00000642704,protein_coding
ENSG00000285348,ENST00000642845,protein_coding
ENSG00000292354,ENST00000711145,protein_coding
ENSG00000285193,ENST00000645110,protein_coding
ENSG00000292357,ENST00000711138,protein_coding
ENSG00000284868,ENST00000643014,protein_coding
ENSG00000292358,ENST00000711232,protein_coding
ENSG00000285326,ENST00000644840,protein_coding
ENSG00000285199,ENST00000644672,protein_coding
ENSG00000285203,ENST00000642857,protein_coding
ENSG00000292363,ENST00000711254,protein_coding
ENSG00000285456,ENST00000645335,protein_coding
ENSG00000292366,ENST00000711260,protein_coding
ENSG00000284814,ENST00000642397,protein_coding
ENSG00000292372,ENST00000711271,protein_coding
ENSG00000292373,ENST00000711286,protein_coding
ENSG00000285379,ENST00000646516,protein_coding
ENSG00000285485,ENST00000642776,protein_coding
ENSG00000284807,ENST00000710583,protein_coding
ENSG00000292270,ENST00000710585,protein_coding
ENSG00000280774,ENST00000629267,protein_coding
ENSG00000281320,ENST00000631090,protein_coding
ENSG00000280548,ENST00000630954,protein_coding
ENSG00000281221,ENST00000629691,protein_coding
ENSG00000281526,ENST00000627810,protein_coding
ENSG00000281601,ENST00000678949,protein_coding
ENSG00000280568,ENST00000629480,protein_coding
ENSG00000281123,ENST00000628705,protein_coding
ENSG00000285435,ENST00000644869,protein_coding
ENSG00000284841,ENST00000645741,protein_coding
ENSG00000285449,ENST00000647549,protein_coding
ENSG00000285426,ENST00000643372,protein_coding
ENSG00000284984,ENST00000646945,protein_coding
ENSG00000280584,ENST00000627758,protein_coding
ENSG00000281309,ENST00000629980,protein_coding
ENSG00000281022,ENST00000631196,protein_coding
ENSG00000280858,ENST00000627647,protein_coding
ENSG00000283984,ENST00000639948,protein_coding
ENSG00000280627,ENST00000626663,protein_coding
ENSG00000281024,ENST00000630633,protein_coding
ENSG00000280951,ENST00000625213,protein_coding
ENSG00000281245,ENST00000627962,protein_coding
ENSG00000280706,ENST00000628678,protein_coding
ENSG00000281244,ENST00000628339,protein_coding
ENSG00000280479,ENST00000627083,protein_coding
ENSG00000281165,ENST00000626271,protein_coding
ENSG00000281879,ENST00000644422,protein_coding
ENSG00000285063,ENST00000645766,protein_coding
ENSG00000283153,ENST00000637139,protein_coding
ENSG00000284383,ENST00000639060,protein_coding
ENSG00000284496,ENST00000638899,protein_coding
ENSG00000284262,ENST00000639166,protein_coding
ENSG00000283767,ENST00000639613,protein_coding
ENSG00000284210,ENST00000638438,protein_coding
ENSG00000283884,ENST00000640110,protein_coding
ENSG00000283955,ENST00000640229,protein_coding
ENSG00000284025,ENST00000640885,protein_coding
ENSG00000283878,ENST00000639309,protein_coding
ENSG00000284181,ENST00000638722,protein_coding
ENSG00000283820,ENST00000638403,protein_coding
ENSG00000283363,ENST00000636256,protein_coding
ENSG00000283949,ENST00000710433,protein_coding
ENSG00000291479,ENST00000707634,protein_coding
ENSG00000291480,ENST00000707635,protein_coding
ENSG00000291483,ENST00000707647,protein_coding
ENSG00000291484,ENST00000707660,protein_coding
ENSG00000291465,ENST00000707609,protein_coding
ENSG00000291485,ENST00000707661,protein_coding
ENSG00000291470,ENST00000707614,protein_coding
ENSG00000291474,ENST00000707628,protein_coding
ENSG00000291473,ENST00000707626,protein_coding
ENSG00000281877,ENST00000628001,protein_coding
ENSG00000283781,ENST00000639010,protein_coding
ENSG00000284009,ENST00000639874,protein_coding
ENSG00000284483,ENST00000639003,protein_coding
ENSG00000283771,ENST00000639136,protein_coding
ENSG00000283859,ENST00000639647,protein_coding
