ensembl_transcript_id,external_gene_name
ENST00000638380,HBP1
ENST00000638549,HBP1
ENST00000638303,HBP1
ENST00000638758,HBP1
ENST00000638870,HBP1
ENST00000640580,HBP1
ENST00000638893,HBP1
ENST00000640057,HBP1
ENST00000640401,HBP1
ENST00000640325,HBP1
ENST00000640054,HBP1
ENST00000638677,HBP1
ENST00000638775,HBP1
ENST00000640309,HBP1
ENST00000583700,RBBP8
ENST00000579124,RBBP8
ENST00000577588,RBBP8
ENST00000582354,RBBP8
ENST00000581819,RBBP8
ENST00000327155,RBBP8
ENST00000399722,RBBP8
ENST00000399725,RBBP8
ENST00000399721,RBBP8
ENST00000583594,RBBP8
ENST00000360790,RBBP8
ENST00000580892,RBBP8
ENST00000577445,RBBP8
ENST00000585177,RBBP8
ENST00000583057,RBBP8
ENST00000581687,RBBP8
ENST00000341197,TOX2
ENST00000423191,TOX2
ENST00000372999,TOX2
ENST00000358131,TOX2
ENST00000435864,TOX2
ENST00000413823,TOX2
ENST00000262160,SMAD2
ENST00000402690,SMAD2
ENST00000586040,SMAD2
ENST00000591214,SMAD2
ENST00000587353,SMAD2
ENST00000587269,SMAD2
ENST00000586514,SMAD2
ENST00000587421,SMAD2
ENST00000586487,SMAD2
ENST00000589877,SMAD2
ENST00000585978,SMAD2
ENST00000356825,SMAD2
ENST00000432907,PKNOX1
ENST00000418336,PKNOX1
ENST00000291547,PKNOX1
ENST00000480179,PKNOX1
ENST00000456957,PKNOX1
ENST00000560448,PKNOX1
ENST00000607049,PKNOX1
ENST00000557820,PKNOX1
ENST00000474336,PKNOX1
ENST00000607150,PKNOX1
ENST00000558955,PKNOX1
ENST00000445987,MED15
ENST00000444094,MED15
ENST00000486656,MED15
ENST00000414658,MED15
ENST00000433831,MED15
ENST00000432052,MED15
ENST00000292733,MED15
ENST00000263205,MED15
ENST00000477824,MED15
ENST00000406969,MED15
ENST00000382974,MED15
ENST00000441501,MED15
ENST00000438962,MED15
ENST00000445189,MED15
ENST00000451058,MED15
ENST00000473028,MED15
ENST00000457322,MED15
ENST00000428629,MED15
ENST00000424287,MED15
ENST00000423862,MED15
ENST00000420849,MED15
ENST00000487550,MED15
ENST00000476767,MED15
ENST00000492381,MED15
ENST00000478831,MED15
ENST00000489651,MED15
ENST00000473244,MED15
ENST00000493216,MED15
ENST00000476187,MED15
ENST00000461076,MED15
ENST00000436496,MED15
ENST00000710305,NKRF
ENST00000710306,NKRF
ENST00000710307,NKRF
ENST00000535628,ZBTB7C
ENST00000588982,ZBTB7C
ENST00000586438,ZBTB7C
ENST00000590800,ZBTB7C
ENST00000590437,ZBTB7C
ENST00000585404,ZBTB7C
ENST00000589619,ZBTB7C
ENST00000586743,ZBTB7C
ENST00000589077,ZBTB7C
ENST00000592656,ZBTB7C
ENST00000589194,ZBTB7C
ENST00000591279,ZBTB7C
ENST00000590855,ZBTB7C
ENST00000587107,ZBTB7C
ENST00000588970,ZBTB7C
ENST00000586525,ZBTB7C
ENST00000592387,ZBTB7C
ENST00000586047,ZBTB7C
ENST00000588053,ZBTB7C
ENST00000591405,ZBTB7C
