Sample_ID,Tissue
GTEX-QCQG-1326-SM-48U24,uterus
GTEX-R55G-1626-SM-48FF4,uterus
GTEX-RTLS-2426-SM-46MUO,uterus
GTEX-RU1J-1026-SM-46MUR,uterus
GTEX-RU72-2626-SM-CYPS6,uterus
GTEX-RWS6-1326-SM-47JXB,uterus
GTEX-S32W-1426-SM-4AD66,uterus
GTEX-S341-1026-SM-4AD71,uterus
GTEX-S4UY-1226-SM-4AD51,uterus
GTEX-S7SF-0826-SM-4AD4W,uterus
GTEX-T2IS-2226-SM-4DM65,uterus
GTEX-T5JW-1526-SM-4DM5E,uterus
GTEX-T6MO-1526-SM-4DM57,uterus
GTEX-TMMY-2226-SM-4DXTN,uterus
GTEX-TSE9-2626-SM-4DXV2,uterus
GTEX-U3ZN-0726-SM-4DXT5,uterus
GTEX-W5WG-1326-SM-4LMI9,uterus
GTEX-WEY5-0726-SM-4LMID,uterus
GTEX-WI4N-2426-SM-4OOSC,uterus
GTEX-WWYW-2826-SM-4MVOQ,uterus
GTEX-WXYG-1326-SM-4ONCN,uterus
GTEX-WYVS-1226-SM-4ONCL,uterus
GTEX-XUW1-0226-SM-4BOOS,uterus
GTEX-XUZC-0926-SM-4BOQF,uterus
GTEX-XV7Q-1526-SM-4BRWB,uterus
GTEX-XYKS-1626-SM-4BRUQ,uterus
GTEX-Y114-1826-SM-4TT87,uterus
GTEX-Y3IK-2126-SM-4YCDS,uterus
GTEX-YFC4-2826-SM-5P9FR,uterus
GTEX-YJ8O-1126-SM-5P9IS,uterus
GTEX-ZAJG-2826-SM-5HL8D,uterus
GTEX-ZAK1-2526-SM-5S2N7,uterus
GTEX-ZLWG-1026-SM-4WWC4,uterus
GTEX-ZP4G-0726-SM-4WWF2,uterus
GTEX-ZPIC-1226-SM-DO91X,uterus
GTEX-ZTPG-2026-SM-5O999,uterus
GTEX-ZV6S-1526-SM-5NQ7O,uterus
GTEX-ZVT2-0426-SM-5E44S,uterus
GTEX-ZXES-0726-SM-5E451,uterus
GTEX-ZYVF-0526-SM-5E43E,uterus
