Sample_ID,Tissue
GTEX-1GTWX-0011-R4a-SM-C1YQI,brain
GTEX-13N2G-0011-R4b-SM-5MR54,brain
GTEX-TSE9-0011-R4A-SM-3DB7H,brain
GTEX-14JIY-0011-R4b-SM-5ZZV7,brain
GTEX-17HG3-0011-R4a-SM-7IGLL,brain
GTEX-X585-0011-R4B-SM-46MVH,brain
GTEX-13X6K-0011-R4b-SM-5P9HO,brain
GTEX-16YQH-0011-R4a-SM-7EPGI,brain
GTEX-13O3O-0011-R4b-SM-5KM3F,brain
GTEX-XLM4-0011-R4B-SM-4AT5C,brain
GTEX-15EO6-0011-R4a-SM-7KUKZ,brain
GTEX-1F6IF-0011-R4b-SM-CKZNJ,brain
GTEX-1H1ZS-0011-R4b-SM-CKZO7,brain
GTEX-1HFI6-0011-R4b-SM-A96RT,brain
GTEX-131XH-0011-R4b-SM-5DUWB,brain
GTEX-1F7RK-0011-R4b-SM-9QEI7,brain
GTEX-15SHU-0011-R4b-SM-7IGLC,brain
GTEX-Q2AG-0011-R4A-SM-2HMKA,brain
GTEX-1HBPH-0011-R4a-SM-A96RX,brain
GTEX-13O3Q-0011-R4a-SM-5P9H2,brain
GTEX-1J1OQ-0011-R4a-SM-D4P2A,brain
GTEX-14BIM-0011-R4b-SM-5S2RK,brain
GTEX-17EVP-0011-R4a-SM-79OML,brain
GTEX-P44G-0011-R4A-SM-2I3FB,brain
GTEX-1F75A-0011-R4a-SM-ARL8J,brain
GTEX-1A3MX-0011-R4b-SM-7EWFK,brain
GTEX-1B8L1-0011-R4a-SM-7EWFJ,brain
GTEX-1C6WA-0011-R4a-SM-9QEH2,brain
GTEX-1ICLZ-0011-R4a-SM-CMKHL,brain
GTEX-13RTJ-0011-R4b-SM-5PNX1,brain
GTEX-1JMQJ-0011-R4b-SM-EXUT8,brain
GTEX-1LSVX-0011-R4b-SM-EXURP,brain
GTEX-1LVAO-0011-R4a-SM-EXURO,brain
GTEX-13OW5-0011-R4b-SM-5L3HS,brain
GTEX-1B996-0011-R4b-SM-9OSVO,brain
GTEX-11TTK-0011-R4a-SM-DNZZU,brain
GTEX-1HB9E-0011-R4b-SM-ARZLS,brain
GTEX-13N1W-0011-R4a-SM-5MR52,brain
GTEX-1AX9I-0011-R4b-SM-7EPIB,brain
GTEX-T5JC-0011-R4A-SM-32PLT,brain
GTEX-13NYS-0011-R4b-SM-5MR3O,brain
GTEX-1GN73-0011-R4b-SM-9QEIK,brain
GTEX-WHSE-0011-R4A-SM-3P5ZN,brain
