TF_gene,tissue_brain,TF_transcript_id_brain,target_gene_brain,target_transcript_id_brain,importance_brain,brain_percentage,brain_opposite_percentage,tissue_kidney,TF_transcript_id_kidney,target_gene_kidney,target_transcript_id_kidney,importance_kidney,kidney_percentage,kidney_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
CARNMT1,brain,0,CDC5L,CDC5L-201,5.4364458716828965,0.0,0.0,kidney,0,ZMYND11,ZMYND11-206,4.445410056712882,0.26965605644939095,0.730343943550609,0.0,0,False
RANBP1,brain,RANBP1-201,TSG101,TSG101-201,5.424677826083786,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.586973659165236,0.4415698760249729,0.5584301239750271,-7.01646899150985,Downregulated,False
CIAPIN1,brain,0,GTF2F1,GTF2F1-201,5.417629328141374,0.0,0.0,kidney,CIAPIN1-213,GTF2IRD1,GTF2IRD1-202,5.408417445315997,0.6566044155451385,0.3433955844548615,0.0,0,False
PDZD11,brain,PDZD11-201,PARK7,PARK7-201,5.410781316727205,0.0,0.0,kidney,0,RNF14,RNF14-203,8.0064451714718,0.3502539734556776,0.6497460265443225,-7.62067977657117,Downregulated,False
PLP2,brain,PLP2-202,LRRFIP1,LRRFIP1-201,5.389303703688898,0.0,0.0,kidney,0,HIVEP2,HIVEP2-202,4.749978025290338,0.2589950000544657,0.7410049999455344,2.15737727442319,Upregulated,False
BBOX1,brain,0,STOX1,STOX1-201,5.38050512842857,0.0,0.0,kidney,0,NR1H4,NR1H4-208,4.9824731984089095,0.0,0.0,2.39628163949293,Upregulated,False
MRPL24,brain,MRPL24-201,PARK7,PARK7-201,5.345372748230596,0.0,0.0,kidney,0,RNF14,RNF14-203,5.829821426666897,0.3502539734556776,0.6497460265443225,-6.59549581903458,Downregulated,False
SMG1,brain,SMG1-201,NCOA3,NCOA3-203,5.3429134284776,0.0,0.0,kidney,0,ZNF263,ZNF263-201,4.327123365863731,0.41515246897683156,0.5848475310231684,-4.38365720171418,Downregulated,False
C1QTNF4,brain,0,MESP1,MESP1-201,5.334342845423327,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.751330958741221,0.4415698760249729,0.5584301239750271,-5.14258526179282,Downregulated,False
ICA1,brain,0,LRRFIP1,LRRFIP1-203,5.331445387209122,0.0,0.0,kidney,0,KMT2E,KMT2E-201,5.271753015522461,0.37354192938209335,0.6264580706179066,0.0,0,False
COQ3,brain,0,EID2B,EID2B-201,5.315270390079486,0.0,0.0,kidney,0,ZMYND11,ZMYND11-214,5.230588626985079,0.27358720132542913,0.7264127986745709,0.0,0,False
TJAP1,brain,TJAP1-214,GTF2I,GTF2I-208,5.28929145791303,0.0,0.0,kidney,0,ZNF263,ZNF263-201,5.861349983412547,0.41515246897683156,0.5848475310231684,-2.36938192253512,Downregulated,False
KCNAB2,brain,0,KLF16,KLF16-201,5.288737478046328,0.0,0.0,kidney,0,MLXIPL,MLXIPL-206,5.792425268005264,0.0,0.0,-2.33997512391855,Downregulated,False
RUFY3,brain,RUFY3-201,CNOT7,CNOT7-201,5.2865292990510335,0.0,0.0,kidney,RUFY3-210,MLXIPL,MLXIPL-208,5.101974354848647,0.0,0.0,-1.5138230523156,Downregulated,False
SMYD3,brain,SMYD3-214,EID2B,EID2B-201,5.283627718090562,0.0,0.0,kidney,0,NFYA,NFYA-201,4.626825743296684,0.32140179436418004,0.67859820563582,-5.27346709102832,Downregulated,False
MAMLD1,brain,0,MNT,MNT-201,5.280374446229965,0.0,0.0,kidney,MAMLD1-206,JARID2,JARID2-202,5.404126165218799,0.28022516465735325,0.7197748353426467,0.0,0,False
TRUB1,brain,TRUB1-201,CNOT7,CNOT7-201,5.277144977900521,0.0,0.0,kidney,0,ZMYND11,ZMYND11-214,4.573733329620197,0.27358720132542913,0.7264127986745709,-4.72843721559525,Downregulated,False
AJM1,brain,0,KLF16,KLF16-201,5.272754381922002,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.494888737287393,0.4415698760249729,0.5584301239750271,-2.58896498847159,Downregulated,False
