TF_gene,tissue_cervix_ectocervix,TF_transcript_id_cervix_ectocervix,target_gene_cervix_ectocervix,target_transcript_id_cervix_ectocervix,importance_cervix_ectocervix,cervix_ectocervix_percentage,cervix_ectocervix_opposite_percentage,tissue_fallopian_tube,TF_transcript_id_fallopian_tube,target_gene_fallopian_tube,target_transcript_id_fallopian_tube,importance_fallopian_tube,fallopian_tube_percentage,fallopian_tube_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
DNAJC1,cervix_ectocervix,DNAJC1-202,SCAMP3,0,3.76969861051538,0.5264141974330534,0.4735858025669466,fallopian_tube,DNAJC1-202,ABCD3,0,4.057077183728516,0.47358580256694666,0.5264141974330534,0.0,0,True
CREB3,cervix_ectocervix,CREB3-201,SKP2,0,3.760004090579577,0.4652493723996278,0.5347506276003722,fallopian_tube,CREB3-201,MAD1L1,MAD1L1-202,3.764698506919314,0.5347506276003721,0.46524937239962794,0.0,0,True
PHF1,cervix_ectocervix,PHF1-202,ATF6B,ATF6B-210,3.753494138788009,0.48526662179343366,0.5147333782065664,fallopian_tube,PHF1-204,GPRC5C,GPRC5C-205,6.409507248140475,0.4066561816439793,0.5933438183560207,0.0,0,True
ATF6,cervix_ectocervix,ATF6-201,INTS2,0,3.748711839880784,0.4725907708238949,0.5274092291761051,fallopian_tube,ATF6-201,MAP2K1,MAP2K1-203,4.394672908306322,0.5274092291761051,0.4725907708238949,0.0,0,True
RLF,cervix_ectocervix,RLF-201,CA11,0,3.7432337029336606,0.5246656855844903,0.47533431441550966,fallopian_tube,RLF-201,OSER1,OSER1-201,2.733587934902664,0.4753343144155095,0.5246656855844904,0.0,0,True
KLF9,cervix_ectocervix,KLF9-201,TIMM9,TIMM9-202,3.742236083688932,0.28685060666391193,0.7131493933360881,fallopian_tube,KLF9-201,TAF6,0,3.594464882413321,0.7131493933360881,0.28685060666391193,0.0,0,True
BCLAF1,cervix_ectocervix,BCLAF1-214,SNX19,SNX19-201,3.735153140515349,0.46016021743795144,0.5398397825620486,fallopian_tube,BCLAF1-214,MMAB,MMAB-205,2.991257056018868,0.5398397825620486,0.46016021743795144,0.0,0,True
PBX2,cervix_ectocervix,PBX2-203,OSGEP,0,3.734917554017526,0.47040875629600926,0.5295912437039907,fallopian_tube,PBX2-201,TAF10,TAF10-205,5.222317342372016,0.5203878667329687,0.47961213326703134,0.0,0,True
LITAF,cervix_ectocervix,LITAF-219,FBL,FBL-202,3.73327236174102,0.5550799659079515,0.4449200340920485,fallopian_tube,LITAF-219,HBA2,0,3.304219428379751,0.44492003409204856,0.5550799659079515,0.0,0,True
NCOA2,cervix_ectocervix,NCOA2-201,NDUFA12,0,3.7296134655943343,0.5570089931450852,0.44299100685491477,fallopian_tube,NCOA2-201,SDF4,0,3.412755715183804,0.44299100685491477,0.5570089931450852,0.0,0,True
MBD2,cervix_ectocervix,MBD2-203,TRIM5,0,3.7263884943859016,0.5564200614486858,0.44357993855131417,fallopian_tube,MBD2-201,RO60,0,4.375747588457702,0.4487714941490763,0.5512285058509236,0.0,0,True
EID1,cervix_ectocervix,EID1-202,SLC25A3,SLC25A3-216,3.722689428860731,0.4096111466552924,0.5903888533447076,fallopian_tube,EID1-201,CTSO,CTSO-201,3.860796372177039,0.5514446958955048,0.4485553041044952,0.0,0,True
FUS,cervix_ectocervix,FUS-202,BLTP2,BLTP2-202,3.7208845551749854,0.46780708152270506,0.5321929184772949,fallopian_tube,FUS-209,IGFBP4,0,5.407813269621127,0.40171770952719466,0.5982822904728053,0.0,0,True
FOXO3,cervix_ectocervix,FOXO3-201,RORA,0,3.711067770461914,0.5133211910712017,0.48667880892879833,fallopian_tube,FOXO3-201,MYL6,MYL6-218,3.5832947456385407,0.48667880892879833,0.5133211910712017,0.0,0,True
SP3,cervix_ectocervix,SP3-202,CD276,0,3.699951686693638,0.5959210433886717,0.4040789566113283,fallopian_tube,SP3-202,DEPP1,DEPP1-201,3.1773095425066686,0.4040789566113284,0.5959210433886716,0.0,0,True
E2F4,cervix_ectocervix,E2F4-201,MPHOSPH10,MPHOSPH10-201,3.698539847220111,0.47012800347128053,0.5298719965287195,fallopian_tube,E2F4-201,USP14,0,3.9804702061954536,0.5298719965287194,0.4701280034712806,0.0,0,True
TCF12,cervix_ectocervix,TCF12-201,ATL3,ATL3-201,3.681148718300728,0.5388516368963769,0.46114836310362306,fallopian_tube,TCF12-201,IRF3,0,3.943331272850268,0.46114836310362317,0.5388516368963768,0.0,0,True
BRD7,cervix_ectocervix,BRD7-202,RPL22L1,RPL22L1-204,3.680932044548191,0.5420823568798125,0.45791764312018746,fallopian_tube,BRD7-202,ALKBH7,0,3.892126117217293,0.45791764312018746,0.5420823568798125,0.0,0,True
ZNF512B,cervix_ectocervix,ZNF512B-201,SLC24A3,0,3.679861885147168,0.47207898628932315,0.5279210137106769,fallopian_tube,ZNF512B-201,SLC2A3,0,3.24376912188817,0.5279210137106768,0.4720789862893232,0.0,0,True
HDAC1,cervix_ectocervix,HDAC1-206,CLASRP,CLASRP-216,3.677251860894709,0.0,0.0,fallopian_tube,HDAC1-201,ZNF784,ZNF784-201,2.759993496692058,0.4843637411730797,0.5156362588269203,-6.73712904008192,Downregulated,True
ARID5B,cervix_ectocervix,ARID5B-201,VPS13B,0,3.672242060515656,0.5264815273989586,0.4735184726010414,fallopian_tube,ARID5B-201,PABPC1,PABPC1-201,3.558822038281658,0.47351847260104146,0.5264815273989585,0.0,0,True
DEAF1,cervix_ectocervix,DEAF1-201,CADM4,CADM4-201,3.6621324856996273,0.4982220311828377,0.5017779688171623,fallopian_tube,DEAF1-201,ZCCHC2,ZCCHC2-204,3.336833683750363,0.5017779688171623,0.4982220311828377,0.0,0,True
APBB1,cervix_ectocervix,APBB1-201,SEMA3B,0,3.646640314019365,0.4689849020237713,0.5310150979762287,fallopian_tube,APBB1-201,TMEM54,0,3.2828923306706908,0.5310150979762287,0.4689849020237713,0.0,0,True
SP1,cervix_ectocervix,SP1-202,CARD10,0,3.644067430499756,0.46487073218867175,0.5351292678113282,fallopian_tube,SP1-202,VEGFC,0,4.839935905522163,0.5351292678113282,0.4648707321886718,0.0,0,True
E4F1,cervix_ectocervix,E4F1-201,MIER2,0,3.6351064100798087,0.5119707040866568,0.4880292959133432,fallopian_tube,E4F1-201,ZMYM4,0,3.181873676225432,0.48802929591334315,0.5119707040866568,0.0,0,True
TFDP1,cervix_ectocervix,TFDP1-201,ETHE1,ETHE1-202,3.634511172925327,0.5405050984648081,0.4594949015351919,fallopian_tube,TFDP1-201,CGNL1,0,4.621759743594575,0.4594949015351918,0.5405050984648082,0.0,0,True
ZBTB4,cervix_ectocervix,ZBTB4-202,AARSD1,AARSD1-202,3.634047734896466,0.49136403311556065,0.5086359668844394,fallopian_tube,ZBTB4-202,NDUFB3,NDUFB3-201,5.783000388157119,0.5086359668844394,0.49136403311556065,0.0,0,True
GTF2F1,cervix_ectocervix,GTF2F1-201,SLC3A2,SLC3A2-208,3.627710144293216,0.49236363636363645,0.5076363636363636,fallopian_tube,GTF2F1-201,TADA3,0,3.4106530117912683,0.5076363636363637,0.49236363636363634,0.0,0,True
ATF7,cervix_ectocervix,ATF7-201,ERBIN,0,3.627602995876329,0.5238803608165848,0.47611963918341516,fallopian_tube,ATF7-201,RBPMS,0,3.0386457585538404,0.47611963918341516,0.5238803608165848,0.0,0,True
