PDXP,-3.45883631367286
NR0B1,-3.05744718117725
EPB41L1,-1.73580732040644
EPB41L1,-1.73580732040644
NEUROG2,-3.18089473100606
FOLR1,4.83739836624559
SOHLH1,-5.26893073632125
NRXN1,-5.34519696404799
NRXN1,-5.34519696404799
PACSIN1,-7.05804651507057
ABR,-2.61884097541771
ABR,-2.61884097541771
ABR,-2.61884097541771
ABR,-2.61884097541771
RDH12,1.62174866940151
FGF2,-2.70749519657698
NEUROD1,-3.56604444434814
HHIPL1,-4.17493414005428
HHIPL1,-4.17493414005428
CFAP52,-3.54739625918227
GRK3,-2.13260265198277
GRK3,-2.13260265198277
SYT16,-4.11923638895797
MAP3K10,-3.24519508330227
MAP3K10,-3.24519508330227
MAP3K10,-3.24519508330227
AMOT,-1.98415233078308
SMARCD3,-1.77981790039809
SMARCD3,-1.77981790039809
INPP5F,-2.33406070332295
INPP5F,-2.33406070332295
UBE2QL1,-2.52189908526955
FMN2,-3.25943795750896
KHK,3.65041862178146
TMEM132D,-3.8673086062579
DGKZ,-2.50087653734018
DGKZ,-2.50087653734018
SYT17,-2.04563896999365
DRC1,-3.6892838798195
HES1,1.94102448705521
HES1,1.94102448705521
GAS2L2,-2.4983293630687
GAS2L2,-2.4983293630687
GAS2L2,-2.4983293630687
NDRG4,-6.61122184435818
NDRG4,-6.61122184435818
TFCP2L1,7.09595573395207
CHST10,-2.28243429011268
CAMK2A,-9.19813231077768
ACAT1,2.16224726673155
PSD,-7.31387769588406
PSD,-7.31387769588406
RFX4,-6.53011566642286
KCNH3,-4.21475363529474
KCNH3,-4.21475363529474
DMRTA1,2.68974110179987
TAOK3,-1.6306090129769
SHANK1,-7.46118455420498
SMIM13,-2.61517881477823
PPP1R1B,-3.9970538320451
AP3B2,-4.28385263636767
PPP1R16B,-2.0685404409755
PPP1R16B,-2.0685404409755
RHBDL1,-2.17250036371879
BEX5,-2.34873163833676
FEZ1,-5.72151288800207
EID2B,-2.02786674048082
EID2B,-2.02786674048082
EID2B,-2.02786674048082
EID2B,-2.02786674048082
PKP4,-1.73103312432817
PKP4,-1.73103312432817
PKP4,-1.73103312432817
PRR7,-3.01126561404776
PRR7,-3.01126561404776
MYT1,-4.79703778551725
MYT1,-4.79703778551725
BEX1,-5.77691818726658
BEX1,-5.77691818726658
NDN,-1.76805920872246
PDE1C,-1.77765466055734
PDE1C,-1.77765466055734
SIM2,3.26318949760442
MBP,-8.4679232287438
MBP,-8.4679232287438
HABP4,-2.05166968944368
HIPK2,-2.90288324292584
HIPK2,-2.90288324292584
ASCL1,-6.66125769014131
DCLK2,-3.52686930620879
DCLK2,-3.52686930620879
C6orf118,-3.15226621408401
SLC25A23,-2.72416864405818
SV2C,-2.61364428585725
OLIG2,-7.9582326180747
OLIG2,-7.9582326180747
FAM216A,-2.03615851459409
FAM216A,-2.03615851459409
RGS7,-4.69795688100975
RGS7,-4.69795688100975
AGAP3,-2.56013656535193
AGAP3,-2.56013656535193
AGAP3,-2.56013656535193
SMIM10L2B,-3.07925747956025
SMIM10L2B,-3.07925747956025
SRCIN1,-6.07536819113588
SRCIN1,-6.07536819113588
PNMA8A,-3.06082260390452
PNMA8A,-3.06082260390452
SAMD14,-3.1797855236873
SAMD14,-3.1797855236873
EXTL1,-5.38120816517629
EXTL1,-5.38120816517629
PYDC1,-5.89762295383866
NFIA,-1.50732186527196
TSPAN13,-2.2592067637139
PSIP1,-1.7726981264084
PSIP1,-1.7726981264084
PSIP1,-1.7726981264084
MGAT3,-3.1572752809392
BTBD2,-1.61845537250625
BTBD2,-1.61845537250625
BTBD2,-1.61845537250625
ST6GALNAC2,2.80979514295798
ST6GALNAC2,2.80979514295798
NME9,-2.08662378051795
PABPC1L,2.58294661193847
GLB1L,1.59620459553861
TBCB,-1.54257504038161
GDAP1L1,-6.44180866783808
HAPLN4,-2.89549351721884
CLYBL,1.96253889141696
PCMT1,-1.55891047952185
PTPRA,-1.50047341573951
MOG,-9.32304890206381
MOG,-9.32304890206381
MOG,-9.32304890206381
LTBP4,1.72187020862277
PLP2,2.15737727442319
MORN5,-3.1196032565776
BBOX1,2.39628163949293
ATP1A2,-6.79890808530634
ATP1A2,-6.79890808530634
SLC1A4,-4.59528692581204
NKX6-2,-7.60426327038484
NKX6-2,-7.60426327038484
NKX6-2,-7.60426327038484
C1QTNF4,-5.14258526179282
C1QTNF4,-5.14258526179282
HLA-DRA,1.57640885612467
PNCK,-5.1733506845007
PNCK,-5.1733506845007
NCS1,-4.54257286653496
NCS1,-4.54257286653496
PIPOX,2.51429203122963
CALN1,-5.37097158000469
AHR,1.51320966170155
CEND1,-7.98632584878402
DNER,-3.71037629655696
STXBP1,-2.79933829725525
STXBP1,-2.79933829725525
IRS2,-1.79191507926687
CFAP73,-2.92056625773162
CFAP73,-2.92056625773162
CFAP73,-2.92056625773162
KCNAB2,-2.33997512391855
RUFY3,-1.5138230523156
SEPTIN4,-4.57930668680579
SEPTIN4,-4.57930668680579
AJM1,-2.58896498847159
BHLHE22,-6.52269554427724
P2RY12,-6.3239178662663
LHX2,-7.9588790963244
B3GAT1,-6.25870872511963
B3GAT1,-6.25870872511963
ATP2B2,-6.16331756025373
TMEM235,-6.75627960589999
GPM6A,-7.51454423217034
GPM6A,-7.51454423217034
FBXL16,-6.79163558485851
SUCLG1,2.26955519823154
SUCLG1,2.26955519823154
CTNND2,-8.87973484548546
CTNND2,-8.87973484548546
ABHD8,-2.49751999768405
SLCO1A2,-7.96798764512222
DMTN,-1.74587612185794
C1orf87,-2.85745643496504
